p,q,nobs,parameters,llf,aic,bic,mu_pct,sigma_pct,ar,ma,converged,message,starts,gradient_max,min_ar_root,min_ma_root,status,delta_bic,selected,scale
0,0,246,2,-288.99271677722925,581.9854335544585,588.9960966263233,-0.06548315488465802,0.7833533623873298,[],[],True,closed_form,1,0.0,inf,inf,eligible,0.0,True,1d
0,1,246,3,-288.9088327183182,583.8176654366364,594.3336600444335,-0.06517161299796151,0.7830737054533097,[],[-0.028114020282060417],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,4.4408920977566275e-08,inf,35.56944150880125,eligible,5.337563418110221,False,1d
1,0,246,3,-288.91305026792793,583.8261005358559,594.342095143653,-0.06520154585066615,0.7830883822614995,[-0.026680359909011506],[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0.0,37.480753760830716,inf,eligible,5.34599851732969,False,1d
0,2,246,4,-288.84869248716484,585.6973849743297,599.7187111180591,-0.06475118611295595,0.7828669317199973,[],"[-0.02815425041689596, -0.021535653105610553]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,6.661338146634942e-08,inf,6.191909562590778,eligible,10.72261449173584,False,1d
1,1,246,4,-288.8818596852492,585.7637193704984,599.7850455142278,-0.06496142052289193,0.7829830717774291,[0.25357503777180396],[-0.2842256083504502],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,4.4408921008381155e-08,3.943605840650274,3.5183318132509718,eligible,10.788948887904553,False,1d
2,0,246,4,-288.8403784612924,585.6807569225848,599.7020830663142,-0.06471125367416995,0.7828355313071391,"[-0.027881367110881763, -0.025757769372813336]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,4.4408920977566275e-08,6.230829606417529,inf,eligible,10.705986439990966,False,1d
0,3,246,5,-288.84319650133943,587.6863930026789,605.2130506823407,-0.0646952983775019,0.7828480538556496,[],"[-0.02663212733347904, -0.021649768238766555, -0.006975035872809262]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0.0,inf,4.1817179606015875,eligible,16.21695405601747,False,1d
1,2,246,5,-288.8481059659799,587.6962119319599,605.2228696116217,-0.06474297864572495,0.782865004951559,[0.03450810885536932],"[-0.06250154284058294, -0.02067140669928798]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,1.110223025209529e-07,28.97869611433094,5.605902041606758,eligible,16.226772985298453,False,1d
2,1,246,5,-288.8380010716875,587.676002143375,605.2026598230368,-0.06468581544191317,0.7828271888992182,"[0.036051372967271234, -0.02441851648386837]",[-0.06397521226682353],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,4.4408920977566275e-08,6.399416287292491,15.631054037449177,eligible,16.206563196713546,False,1d
3,0,246,5,-288.8209436131109,587.6418872262218,605.1685449058837,-0.06457763527368253,0.7827650145569393,"[-0.02805275082183999, -0.02635075361047739, -0.013548992708883342]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,4.4408920977566275e-08,3.9363707797098573,inf,eligible,16.1724482795604,False,1d
0,4,246,6,-287.5511053248965,587.102210649793,608.1341998653872,-0.06672404868966658,0.777796244276608,[],"[-0.017460379141280645, -0.03087197509657996, -0.017082123155548582, 0.12637352552584583]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,4.4408921008381155e-08,inf,1.6623815376598685,eligible,19.13810323906398,False,1d
1,3,246,6,-288.37633339255456,588.7526667851091,609.7846560007033,-0.06484244385008583,0.7810874141463722,[-0.7031997252366423],"[0.6877551211170322, -0.03361565185842277, -0.06687007701416883]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,1.3322676228558639e-07,1.4220710903484466,2.048820830498113,eligible,20.788559374380043,False,1d
2,2,246,6,-287.4113787607364,586.8227575214728,607.854746737067,-0.06537945905045714,0.7635710588580966,"[-0.5799680213978262, -0.9996917683155607]","[0.5854364757899879, 0.9994759424498011]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,3.221867219158053e-05,1.0001541514789123,1.000262131808715,numerical_or_root_restriction,18.858650110743724,False,1d
3,1,246,6,-288.38422115477965,588.7684423095593,609.8004315251535,-0.06466343028399447,0.7811472202536127,"[-0.6887909573464678, -0.04446450733443, -0.06625517973513513]",[0.6648329115216898],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,1.110223025209529e-07,1.3372392068552494,1.50413732934967,eligible,20.804334898830234,False,1d
4,0,246,6,-287.7656224346247,587.5312448692493,608.5632340848435,-0.06674179942008202,0.7787661303660823,"[-0.022976128295935844, -0.01860221010029077, -0.005080689239962784, 0.10621888638374617]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,4.4408920977566275e-08,1.7269457831600272,inf,eligible,19.56713745852028,False,1d
0,5,246,7,-287.5125830594051,589.0251661188101,613.5624868703367,-0.06666139030378038,0.7776337522373717,[],"[-0.016854319317051142, -0.029305542178462624, -0.019320561583616405, 0.12752288941859746, -0.019250109367215818]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,8.881784195513255e-08,inf,1.58935304088621,eligible,24.566390244013405,False,1d
1,4,246,7,-287.479345245476,588.958690490952,613.4960112424785,-0.06663313833942144,0.7775180582944662,[-0.22308750504214195],"[0.2055225459209254, -0.031322412794558954, -0.026391876803980318, 0.12153097330006395]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,1.3322676293269883e-07,4.482545984864086,1.5607987184940357,eligible,24.49991461615525,False,1d
2,3,246,7,-286.35264711406194,586.7052942281239,611.2426149796504,-0.06611595472443435,0.7568275403111466,"[-1.2884234230350398, -0.864138788016979]","[1.3109090725340167, 0.8711626117719512, -0.09126781280712258]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,0.00019553247919990222,1.075742310204135,1.0003802592482098,numerical_or_root_restriction,22.246518353327133,False,1d
3,2,246,7,-286.3552064642357,586.7104129284714,611.247733679998,-0.06623420972229208,0.7567270203775578,"[-1.376399912502745, -0.9846094860208967, -0.0812430846611861]","[1.3993094513184583, 0.9991568459778468]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,8.881784201676231e-08,1.0758096576208787,1.0004218437892936,numerical_or_root_restriction,22.2516370536747,False,1d
4,1,246,7,-287.6749139818901,589.3498279637802,613.8871487153067,-0.06659094160576003,0.7784165814842782,"[-0.32519582814277387, -0.02678449081279185, -0.012910292735977755, 0.10188267050186753]",[0.3068080347042927],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,4.4408921008381155e-08,1.507634885964939,3.2593670532905654,eligible,24.89105208898343,False,1d
5,0,246,7,-287.7358696995565,589.471739399113,614.0090601506395,-0.0666725386077285,0.7786550696242954,"[-0.020534748002762164, -0.01910414421958631, -0.006210800880653915, 0.10523185285440391, -0.018132067971468494]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,8.881784197054e-08,1.6455064369144732,inf,eligible,25.012963524316206,False,1d
1,5,246,8,-287.4769831365612,590.9539662731224,618.9966185605813,-0.06664583852224593,0.7775131791822573,[-0.2783662873389441],"[0.26057837267385353, -0.03249753642499441, -0.027632363624742664, 0.12089820171172291, 0.009555419336483259]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,1.7763568394108e-07,3.5923890409271473,1.5717313577712377,eligible,30.000521934258018,False,1d
2,4,246,8,-287.25120067301225,590.5024013460245,618.5450536334833,-0.06814141071671702,0.7765315218944691,"[0.21366135636527786, 0.38464330236843364]","[-0.23702802281835378, -0.40858938056312266, -0.00647251648942803, 0.13756515190629032]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,6.661338151257174e-08,1.3583993202436067,1.56038199089949,eligible,29.548957007160084,False,1d
3,3,246,8,-286.3513901858835,588.702780371767,616.7454326592258,-0.066158485354273,0.756756542721712,"[-1.319872600546597, -0.9073620182269999, -0.029302879845057833]","[1.3423314691007215, 0.9167341771992754, -0.058807725570405256]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,1.5543122266651744e-07,1.075993550576587,1.000399904314864,numerical_or_root_restriction,27.749336032902534,False,1d
4,2,246,8,-286.34763422031597,588.6952684406319,616.7379207280908,-0.06609342611461656,0.7568090755608493,"[-1.381214389566191, -0.9920314169761544, -0.09313353766374793, -0.009705071658120613]","[1.403380707656686, 0.9991568460454198]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,1.1102230190465531e-07,1.0762766792715317,1.0004218437554642,numerical_or_root_restriction,27.74182410176752,False,1d
