p,q,nobs,parameters,llf,aic,bic,mu_pct,sigma_pct,ar,ma,converged,message,starts,gradient_max,min_ar_root,min_ma_root,status,delta_bic,selected,scale
0,0,2214.0,2.0,-23.572861022089455,51.14572204417891,62.550834270716074,-0.007327692787875974,0.2445607948771369,[],[],True,closed_form,1.0,0.0,inf,inf,eligible,0.0,True,60min
0,1,2214.0,3.0,-21.76454289563435,49.5290857912687,66.63675413107444,-0.007285883536750786,0.244338951288677,[],[-0.04040156527990023],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,2.0643209360665576e-08,inf,24.751516261116244,eligible,4.085919860358366,False,60min
1,0,2214.0,3.0,-21.55741243256807,49.11482486513614,66.22249320494188,-0.007282774268249249,0.2443107263371178,[-0.04502194740963139],[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,2.0643209360665576e-08,22.211389278689296,inf,eligible,3.6716589342258104,False,60min
0,2,2214.0,4.0,-17.256635226005983,42.513270452011966,65.32349490508629,-0.007350666347467365,0.24367780122007837,[],"[-0.043355691920051405, 0.07777990731006298]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,2.0556473186881264e-08,inf,3.5856367415085746,eligible,2.7726606343702187,False,60min
1,1,2214.0,4.0,-19.413860618471972,46.827721236943944,69.63794569001827,-0.007265624798181386,0.24400908288473364,[-0.616743117853792],[0.5628407343255246],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,2.0643209260396846e-08,1.6214206061672904,1.7767015409756037,eligible,7.087111419302197,False,60min
2,0,2214.0,4.0,-17.219200175244623,42.438400350489246,65.24862480356357,-0.007344002154245411,0.2436689409542584,"[-0.04173907936299305, 0.0775248244931872]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,2.0469737013096955e-08,3.332407274486888,inf,eligible,2.697790532847499,False,60min
0,3,2214.0,5.0,-17.153282149139613,44.30656429827923,72.81934486462214,-0.007395000614229893,0.24365735750420922,[],"[-0.043198527037268654, 0.07753330716477484, 0.01296084373831688]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,2.0556473201145183e-08,inf,3.1630667126980954,eligible,10.268510593906065,False,60min
1,2,2214.0,5.0,-17.058494317744135,44.11698863548827,72.62976920183118,-0.007435714568391306,0.24363680242911104,[0.2957446648847559],"[-0.3386715471493151, 0.08863466274184832]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,4.1112946402290366e-08,3.38129514657407,3.3589087192154956,eligible,10.078934931115107,False,60min
2,1,2214.0,5.0,-16.82070021262689,43.64140042525378,72.15418099159669,-0.007440613419204664,0.24357263736825022,"[0.45604505457608424, 0.09369945730558954]",[-0.5005435294983287],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,8.213915663073624e-08,1.640094382037658,1.9978282428348502,eligible,9.603346720880616,False,60min
3,0,2214.0,5.0,-17.023855779856603,44.04771155971321,72.56049212605612,-0.007396341718096286,0.24363478167644365,"[-0.04279960330914474, 0.07824750481370112, 0.01803549690603637]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,4.1112946402290366e-08,2.929994691231947,inf,eligible,10.009657855340045,False,60min
