p,q,nobs,parameters,llf,aic,bic,mu_pct,sigma_pct,ar,ma,converged,message,starts,gradient_max,min_ar_root,min_ma_root,status,delta_bic,selected,scale
0,0,132840.0,2.0,268306.7097904363,-536609.4195808726,-536589.8257795216,-0.00012212821313124076,0.032106010655863444,[],[],True,closed_form,1.0,0.0,inf,inf,eligible,0.0,True,1min
0,1,132840.0,3.0,268311.1415813428,-536616.2831626856,-536586.8924606591,-0.00012202590187203464,0.03210493755222733,[],[-0.008212357383201927],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,8.881784197054e-08,inf,121.76771581391027,eligible,2.933318862458691,False,1min
1,0,132840.0,3.0,268311.11797220993,-536616.2359444199,-536586.8452423934,-0.00012202733981614562,0.03210494327931972,[-0.008168810298794361],[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,0.0,122.41684693640033,inf,eligible,2.9805371281690896,False,1min
0,2,132840.0,4.0,268311.5867552004,-536615.1735104008,-536575.9859076989,-0.00012199104273074684,0.03210482957241509,[],"[-0.00817298722254598, -0.00258951183214708]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,8.881784197054e-08,inf,18.136457631170906,eligible,13.839871822739951,False,1min
1,1,132840.0,4.0,268311.3664817553,-536614.7329635106,-536575.5453608086,-0.0001220019174309692,0.03210488305248103,[0.15155643203511315],[-0.15985564891086923],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,8.881784201676231e-08,6.598202310333594,6.2556438062290205,eligible,14.280418712995015,False,1min
2,0,132840.0,4.0,268311.60982240876,-536615.2196448175,-536576.0320421156,-0.00012199107158265513,0.03210482396474593,"[-0.008190617495804055, -0.0027329237503848315]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,0.0,19.12873464136304,inf,eligible,13.793737406027503,False,1min
0,3,132840.0,5.0,268312.33139901893,-536614.6627980379,-536565.6782946604,-0.00012207472278452826,0.03210464860715153,[],"[-0.008211468524879442, -0.0025908446785998687, 0.0033374892616127336]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,4.440892098527e-08,inf,6.560436305114789,eligible,24.14748486119788,False,1min
1,2,132840.0,5.0,268311.73463127384,-536613.4692625477,-536564.4847591702,-0.0001219993997380691,0.03210479368863223,[-0.21268778332621066],"[0.2045108596587343, -0.004658142803821349]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,1.7763568394107998e-06,4.701727501039617,4.440581667368406,eligible,25.341020351392217,False,1min
2,1,132840.0,5.0,268311.7559283926,-536613.5118567852,-536564.5273534077,-0.00012199987384287678,0.03210478850870827,"[-0.21517756111069364, -0.004736034505251765]",[0.2069858807315452],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,1.3322676302514348e-07,5.255167034170171,4.831247409077973,eligible,25.298426113906316,False,1min
3,0,132840.0,5.0,268312.32766225154,-536614.6553245031,-536565.6708211256,-0.00012207333718879535,0.03210464950143279,"[-0.008183623331540608, -0.0027061917844928224, 0.0033062617079756486]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,4.440892098527e-08,6.51557005237392,inf,eligible,24.154958395985886,False,1min
0,4,132840.0,6.0,268313.4909722394,-536614.9819444788,-536556.2005404258,-0.00012218580661051994,0.03210436621802734,[],"[-0.00816286755649806, -0.002683452284644207, 0.0033361627215662574, 0.004219917233440113]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,4.440892098527e-08,inf,3.766772919615146,eligible,33.62523909576703,False,1min
1,3,132840.0,6.0,268312.900484203,-536613.800968406,-536555.019564353,-0.00012219291749995445,0.03210451010283276,[0.47311317944894293],"[-0.48131662071871995, 0.0012670493135238463, 0.005162708249786426]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,4.8849813083797e-07,2.113659148461573,2.2055131260273058,eligible,34.80621516855899,False,1min
2,2,132840.0,6.0,268318.9105647387,-536625.8211294774,-536567.0397254244,-0.0001221280625504593,0.03210301869152831,"[-0.9880642786331337, -0.8683851752353499]","[0.9843290829468723, 0.86158516787595]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,1.421085464379588e-06,1.0731089070764428,1.077335306974961,eligible,22.78605409723241,False,1min
3,1,132840.0,6.0,268312.89412601956,-536613.7882520391,-536555.0068479861,-0.00012219003640201285,0.032104511660878375,"[0.4653462146484217, 0.0011761128431265087, 0.005190929803445085]",[-0.4735371692223763],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,1.7763568394108e-07,2.043233215177004,2.1117666468339955,eligible,34.81893153546844,False,1min
4,0,132840.0,6.0,268313.5013571558,-536615.0027143116,-536556.2213102586,-0.00012218430015401496,0.03210436371493672,"[-0.008195963982107549, -0.0026995715862650946, 0.003340050656450534, 0.004232381706093732]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,1.3322676295581e-07,3.8041487218868992,inf,eligible,33.604469262994826,False,1min
0,5,132840.0,7.0,268314.5476978329,-536615.0953956658,-536546.5170909375,-0.00012205130814722592,0.03210410843797206,[],"[-0.008105834424577418, -0.002730354205307799, 0.0033262700029207644, 0.004228840394282266, -0.004065799541697601]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,8.881784197054e-08,inf,2.8750751165006743,eligible,43.30868858413305,False,1min
1,4,132840.0,7.0,268317.10734125366,-536620.2146825073,-536551.636377779,-0.00012217113830510868,0.03210348356952755,[-0.6959535583939743],"[0.6878486709654257, -0.008355963317139494, 0.0014091722825774018, 0.008500190995772965]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,4.4408920985269996e-07,1.4368774869226362,1.479829115890146,eligible,38.18940174265299,False,1min
2,3,132840.0,7.0,268330.5578540105,-536647.115708021,-536578.5374032926,-0.00012236530414819053,0.032100040593769814,"[1.5297660132001742, -0.9461802749147181]","[-1.5381879647585497, 0.9571623082141821, -0.0032116198563310713]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,2.35367282650971e-06,1.0280472009688995,1.024908447460382,eligible,11.288376229000278,False,1min
3,2,132840.0,7.0,268330.5566432472,-536647.1132864944,-536578.534981766,-0.00012236578277344707,0.032100040889188663,"[1.5263715507109212, -0.9410025741981112, -0.0031800810987308624]","[-1.5347858166797301, 0.9519519676758582]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,7.194245243293831e-06,1.0280668256700878,1.0249259333086653,eligible,11.290797755587846,False,1min
