scale,p,q,h,q_boundary,p_working,bic,delta_bic,passes_working_reference
1min,0,0,60,146.1747771455795,3.775391106827447e-09,-536589.8257795216,0.0,False
1min,0,1,60,138.20710469044286,2.6609207576228047e-08,-536586.8924606591,2.933318862458691,False
1min,1,0,60,138.2472461444294,2.6292246570212952e-08,-536586.8452423934,2.9805371281690896,False
1min,0,2,60,137.41308152185684,2.1553195875248952e-08,-536575.9859076989,13.839871822739951,False
1min,1,1,60,137.8040921973424,1.9158959249877505e-08,-536575.5453608086,14.280418712995017,False
1min,2,0,60,137.37445696309558,2.1805111041373243e-08,-536576.0320421156,13.793737406027503,False
1min,0,3,60,136.04829209644913,2.0670636374792965e-08,-536565.6782946604,24.14748486119788,False
1min,1,2,60,137.13157430442374,1.4882860423741637e-08,-536564.4847591702,25.341020351392217,False
1min,2,1,60,137.09474117053975,1.5050429979114276e-08,-536564.5273534077,25.29842611390632,False
1min,3,0,60,136.0479313041412,2.0672892439021836e-08,-536565.6708211256,24.154958395985886,False
1min,0,4,60,134.3495493250795,2.1903663826823946e-08,-536556.2005404258,33.62523909576703,False
1min,1,3,60,135.28285834819363,1.6487843130421972e-08,-536555.019564353,34.80621516855899,False
1min,2,2,60,122.76270201226069,6.686110008113032e-07,-536567.0397254244,22.78605409723241,False
1min,3,1,60,135.28324873856786,1.648588019353403e-08,-536555.0068479861,34.81893153546844,False
1min,4,0,60,134.3235853095851,2.2077036230318e-08,-536556.2213102586,33.604469262994826,False
1min,0,5,60,131.93544279927875,2.883197155801697e-08,-536546.5170909375,43.30868858413305,False
1min,1,4,60,126.93571105946809,1.293282556758592e-07,-536551.636377779,38.18940174265299,False
1min,2,3,60,104.89914762816416,5.8366344308279434e-05,-536578.5374032926,11.288376229000278,False
1min,3,2,60,104.90072001087442,5.834286123399995e-05,-536578.534981766,11.290797755587846,False
1min,4,1,60,126.95632940595871,1.28540181602206e-07,-536551.6081940014,38.21758552023675,False
1min,5,0,60,131.86594474302862,2.9447206433107565e-08,-536546.5823650624,43.24341445916798,False
1min,1,5,60,124.94772292170066,1.5012918628002676e-07,-536541.3907400733,48.435039448319,False
1min,2,4,60,113.42298960384568,4.130983469422249e-06,-536553.3847913037,36.44098821794614,False
1min,3,3,60,104.89928351180274,4.096485903459856e-05,-536566.7405029326,23.0852765890304,False
1min,4,2,60,104.6803269078073,4.3366233582182165e-05,-536566.8457588422,22.980020679417063,False
1min,5,1,60,124.94297052727292,1.503413487398088e-07,-536541.3833040004,48.44247552123852,False
1min,2,5,60,112.67524765472699,3.4161193650011978e-06,-536542.219537076,47.60624244564679,False
1min,3,4,60,104.66232381218029,3.0333927626238764e-05,-536554.9924723941,34.83330712746829,False
1min,4,3,60,104.73883352371442,2.9726291370592946e-05,-536555.0492751729,34.77650434873067,False
1min,5,2,60,104.62652752948273,3.062233887111521e-05,-536555.432481121,34.39329840056598,False
1min,3,5,60,110.27521712102886,4.480237471548967e-06,-536532.7366638114,57.089115710230544,False
1min,4,4,60,104.66222742347924,2.0922901113283496e-05,-536543.1955718485,46.63020767306443,False
1min,5,3,60,104.588490182576,2.1341775504014658e-05,-536543.6305435257,46.19523599592503,False
1min,4,5,60,85.79901245883676,0.0016481806013031656,-536551.2602234604,38.56555606122129,False
1min,5,4,60,85.74138543282042,0.001669899595149851,-536551.3069810008,38.51879852078855,False
1min,5,5,60,78.60858259022956,0.006026645286056474,-536546.5475183626,43.2782611589646,False
5min,0,0,24,34.87078211100121,0.07033999031627029,-64857.25702677183,0.0,True
5min,0,1,24,34.744928834285275,0.05512681346508637,-64847.23002027092,10.027006500917196,True
5min,1,0,24,34.74770722035997,0.05509206809454842,-64847.22633733618,10.030689435654494,True
5min,0,2,24,31.423810509749437,0.08776384980247429,-64840.616121522966,16.640905248867057,True
5min,1,1,24,27.62673730187358,0.18838339711343918,-64844.235991506925,13.021035264908278,True
5min,2,0,24,31.53380553838297,0.08569879481802614,-64840.503199947576,16.753826824256976,True
5min,0,3,24,28.880380079581162,0.11690310618919428,-64832.94886526421,24.30816150762257,True
5min,1,2,24,25.499107522009556,0.22619479071544477,-64836.13955839139,21.11746838044201,True
5min,2,1,24,25.489216882764197,0.2265977608812392,-64836.14650445995,21.11052231187932,True
5min,3,0,24,28.97606450735737,0.11457734225726776,-64832.85625130202,24.40077546981047,True
5min,0,4,24,24.999223987537643,0.20146079481932577,-64826.30167707934,30.955349692492742,True
5min,1,3,24,25.42121124803434,0.1857890715092095,-64825.9943839119,31.262642859932384,True
5min,2,2,24,25.429127069659522,0.18550409940837154,-64825.990297694174,31.266729077658965,True
5min,3,1,24,25.42112482663617,0.18579218452490387,-64825.99425543048,31.262771341353076,True
5min,4,0,24,25.122380898522476,0.19678916995455298,-64826.19624587597,31.060780895859352,True
5min,0,5,24,24.946226557154,0.16231986906826326,-64816.19099017278,41.06603659905522,True
5min,1,4,24,24.948019354173443,0.16226035656529683,-64816.1839173824,41.07310938943556,True
5min,2,3,24,24.576717366364214,0.17495175765472898,-64816.44181636958,40.81521040225198,True
5min,3,2,24,24.56504099788049,0.17536289521362294,-64816.451606841176,40.80541993065708,True
5min,4,1,24,25.06062327994984,0.1585563900761317,-64816.089462932,41.167563839837385,True
5min,5,0,24,25.05449971447471,0.15875610288096142,-64816.10255548051,41.15447129132372,True
5min,1,5,24,24.945211136828142,0.1264328328184752,-64806.00422893888,51.25279783295264,True
5min,2,4,24,24.879378181319996,0.12827499631357697,-64806.1009966034,51.15603016842943,True
5min,3,3,24,23.54911547956099,0.1703612733457733,-64808.794916194514,48.462110577318526,True
5min,4,2,24,23.97766036506785,0.15576102824435414,-64806.72702370789,50.53000306394097,True
5min,5,1,24,25.054215026726673,0.12343009647577491,-64805.91520773775,51.34181903408171,True
5min,2,5,24,18.98204056908885,0.32956399406403253,-64802.50635991108,54.75066686075297,True
5min,3,4,24,17.92405946246739,0.3936468733508096,-64803.56010998497,53.696916786866495,True
5min,4,3,24,17.91180124742921,0.39442546159543707,-64803.56243490699,53.69459186484164,True
5min,5,2,24,19.10259945877693,0.3226749428018466,-64802.40092152159,54.85610525024822,True
5min,3,5,24,17.902741856307525,0.3296229005423025,-64793.37798678419,63.87903998764523,True
5min,4,4,24,17.913845582589445,0.3289660884896332,-64793.37518283926,63.88184393256961,True
5min,5,3,24,17.91593838458864,0.3288423833822664,-64793.37540379294,63.88162297889357,True
5min,4,5,24,21.118753666469477,0.13307781847181935,-64784.30036282531,72.95666394652653,True
5min,5,5,24,15.043374886103917,0.37519607107267977,-64776.99822657053,80.25880020129989,True
15min,0,0,12,18.153495440208825,0.11110873690795517,-12162.968658042571,0.0,True
15min,0,1,12,17.51732314941417,0.09347747907521751,-12154.301687571207,8.666970471365858,True
15min,1,0,12,17.505960366251106,0.09377487107167634,-12154.308867119043,8.659790923529727,True
15min,0,2,12,16.649072481642925,0.08249881460748948,-12145.913922176622,17.054735865951443,True
15min,1,1,12,17.3599027505773,0.06677002269385626,-12145.324071366302,17.6445866762715,True
15min,2,0,12,16.73342720415573,0.08047462290332782,-12145.850232286875,17.1184257556979,True
15min,0,3,12,15.196448274376667,0.08567929935052748,-12138.374479156942,24.594178885630757,True
15min,1,2,12,16.403392328020438,0.058920826303404714,-12137.070094872655,25.898563169916088,True
15min,2,1,12,16.48367003429759,0.057442946200367155,-12137.005447434642,25.96321060793161,True
15min,3,0,12,15.182128296750692,0.08605317937583955,-12138.384304694311,24.584353348260265,True
15min,0,4,12,9.890050529074383,0.2728279298436665,-12134.477890940134,28.49076710243935,True
15min,1,3,12,12.606962953457845,0.12610739216811587,-12131.825871900191,31.142786142381738,True
15min,2,2,12,14.07856829571833,0.07974040876949018,-12130.395587994326,32.573070048247246,True
15min,3,1,12,12.472750115419847,0.13132439685578115,-12131.972608892744,30.99604914982956,True
15min,4,0,12,9.69157612546482,0.28734389395814675,-12134.683674814783,28.28498322778796,True
15min,0,5,12,9.84139186905914,0.19774124965040304,-12125.43419874582,37.534459296752175,True
15min,1,4,12,9.784475561215418,0.20111958852906808,-12125.50120079477,37.4674572478034,True
15min,2,3,12,7.0672010277626365,0.4219166458407887,-12127.83025460349,35.13840343908305,True
15min,3,2,12,7.068093037787097,0.4218246738433392,-12127.847237441663,35.121420600909914,True
15min,4,1,12,9.595743718775974,0.21266277538185793,-12125.68542026405,37.28323777852347,True
15min,5,0,12,9.652289603250365,0.2091489203807128,-12125.6252173327,37.34344070987208,True
15min,1,5,12,9.705970570006487,0.1375928954079749,-12116.496040302583,46.4726177399898,True
15min,2,4,12,9.605199397974083,0.14229293685699004,-12116.61131244628,46.35734559629418,True
15min,3,3,12,6.7589104502329675,0.34371968547312903,-12119.04973884236,43.91891920021226,True
15min,4,2,12,4.120153776065759,0.660420188252582,-12121.873104474678,41.09555356789497,True
15min,5,1,12,9.51168703035405,0.14677980948305006,-12116.692842469412,46.2758155731608,True
15min,2,5,12,9.604244548148536,0.08725758412402068,-12107.523855301177,55.444802741396416,True
15min,3,4,12,7.071605763061762,0.21536913917990644,-12109.652801823206,53.31585621936756,True
15min,4,3,12,4.284251515583817,0.5092576594166888,-12116.32202266384,46.64663537873275,True
15min,5,2,12,3.6274592858748,0.604195175410465,-12114.379326427004,48.5893316155707,True
15min,3,5,12,2.3252770926779713,0.6761708346436137,-12105.858035684489,57.1106223580864,True
15min,5,3,12,4.074283382621505,0.3960460243755325,-12107.511484781218,55.45717326135491,True
30min,0,0,12,14.87286615427142,0.2484628150610978,-3051.484821119192,0.0,True
30min,0,1,12,14.443096368243353,0.20943712271452034,-3043.4862844731933,7.998536645998229,True
30min,1,0,12,14.464516194463513,0.20834666156921042,-3043.4676878286077,8.017133290584297,True
30min,0,2,12,12.129552556131378,0.2764796219934223,-3037.3161789332835,14.168642185908084,True
