scale,start,end,n,lag,statistic,pvalue
1min,2024-01-02,2024-01-02,540,10,17.746181730134154,0.059399138317486035
1min,2024-01-03,2024-01-03,540,10,14.795703216976886,0.13968956983544156
1min,2024-01-04,2024-01-04,540,10,16.371447508195672,0.0894815843238144
1min,2024-01-05,2024-01-05,540,10,14.687057180609319,0.1438945355009339
1min,2024-01-08,2024-01-08,540,10,10.745425743748811,0.3776926575527611
1min,2024-01-09,2024-01-09,540,10,14.27839539265742,0.16066765147693102
1min,2024-01-10,2024-01-10,540,10,7.808297029519632,0.6475558813084518
1min,2024-01-11,2024-01-11,540,10,5.9469523418531995,0.8197002036288744
1min,2024-01-12,2024-01-12,540,10,16.170017557519387,0.0948677896408868
1min,2024-01-15,2024-01-15,540,10,7.627193633338347,0.6652000168691298
1min,2024-01-16,2024-01-16,540,10,17.25250286841879,0.06896014238549601
1min,2024-01-17,2024-01-17,540,10,14.728781166102635,0.14226731468608494
1min,2024-01-18,2024-01-18,540,10,9.630183915850825,0.4735150522385059
1min,2024-01-19,2024-01-19,540,10,21.490539291746057,0.017921119263930318
1min,2024-01-22,2024-01-22,540,10,13.626135614192677,0.19073770371956872
1min,2024-01-23,2024-01-23,540,10,10.921746536115938,0.36364711953882917
1min,2024-01-24,2024-01-24,540,10,13.277671323060034,0.20855861648004376
1min,2024-01-25,2024-01-25,540,10,8.005708943193467,0.6282792663453064
1min,2024-01-26,2024-01-26,540,10,24.60369953224479,0.006149501566933082
1min,2024-01-29,2024-01-29,540,10,9.758293238790706,0.4619489561226152
1min,2024-01-30,2024-01-30,540,10,17.66998805951011,0.060792259300824894
1min,2024-01-31,2024-01-31,540,10,17.832177914491215,0.05786141292813494
1min,2024-02-01,2024-02-01,540,10,21.747983765748703,0.016441222237396365
1min,2024-02-02,2024-02-02,540,10,17.03971740802537,0.07348974171162675
1min,2024-02-05,2024-02-05,540,10,8.746311676904545,0.5563369587375131
1min,2024-02-07,2024-02-07,540,10,25.572688362720612,0.004359458903713512
1min,2024-02-08,2024-02-08,540,10,6.503551764210618,0.7713332757438396
1min,2024-02-09,2024-02-09,540,10,9.970931945632442,0.4430472283001501
1min,2024-02-15,2024-02-15,540,10,17.77825367491911,0.058821391671924926
1min,2024-02-16,2024-02-16,540,10,11.419105456289255,0.32581096187433684
1min,2024-02-19,2024-02-19,540,10,25.45406041804044,0.0045481567617766195
1min,2024-02-20,2024-02-20,540,10,10.922003539324548,0.3636268841707793
1min,2024-02-21,2024-02-21,540,10,21.72264295869768,0.01658162012692928
1min,2024-02-22,2024-02-22,540,10,10.495173567906999,0.39817464090014393
1min,2024-02-23,2024-02-23,540,10,13.43108845545058,0.20055754109710242
1min,2024-02-26,2024-02-26,540,10,24.35171244891287,0.006719608191066651
1min,2024-02-27,2024-02-27,540,10,25.926335883861146,0.0038405333639167706
1min,2024-02-28,2024-02-28,540,10,12.55717342788421,0.2494947743729477
1min,2024-02-29,2024-02-29,540,10,9.196324669309904,0.513578655251636
