scale,p,q,diagnostic_lag,horizon_minutes,q_boundary,working_df,p_ljungbox_working,squared_q,squared_p_working,residual_mean,residual_std,skewness,excess_kurtosis,jarque_bera,jarque_bera_p,max_abs_acf,role,bic,aic,ar,ma,mu_pct
1min,0,0,60,60.0,146.17477714557936,60,3.775391106827611e-09,21648.644227465757,0.0,-1.2758103984756029e-15,1.0000037639477803,0.228852262901544,20.18433861805871,2256160.1995085315,0.0,0.010147455046359489,BIC,-536589.8257795216,-536609.4195808726,[],[],-0.0001221282131312
1min,5,5,60,60.0,78.60858259022947,50,0.006026645286056653,21794.95401129356,0.0,8.513181256059022e-06,1.0000037639115433,0.2328771324066097,20.30764130074742,2283836.325070803,0.0,0.008617145967668436,AIC,-536546.5475183626,-536664.1103264685,"[-0.34025101218594817, 0.21600344175550523, 0.18353274033367692, -0.6258686088752505, -0.6153168072851416]","[0.3310144404241942, -0.2230409754203099, -0.17880222598655546, 0.6362951296016733, 0.609922320724271]",-0.0001223668313876
1min,0,0,60,60.0,146.17477714557936,60,3.775391106827611e-09,21648.644227465757,0.0,-1.2758103984756029e-15,1.0000037639477803,0.228852262901544,20.18433861805871,2256160.1995085315,0.0,0.010147455046359489,best_pure_AR,-536589.8257795216,-536609.4195808726,[],[],-0.0001221282131312
5min,0,0,12,60.0,25.581113437304197,12,0.012296908741033903,1025.1675180367222,7.270991490654189e-212,-6.6860766312867e-18,1.0000188201639257,0.6784037244476514,21.754198000649087,525920.2652150384,0.0,0.015571121128923782,BIC,-64857.25702677183,-64873.63195229795,[],[],-0.0006106410656563
5min,4,3,12,60.0,9.430103650761383,5,0.09309040650599369,991.9292351915091,1.018045327574404e-204,-6.903416574159177e-07,1.0000188201636873,0.6774192520334271,21.732505439592096,524870.0797197804,0.0,0.011168544555042272,AIC,-64803.56243490699,-64877.2495997745,"[0.4917244111178311, -0.0662177500982999, -0.657288404324373, -0.017332943955560277]","[-0.48918600297537285, 0.05324927857376305, 0.6711427806053695]",-0.0006118152249416
5min,0,0,12,60.0,25.581113437304197,12,0.012296908741033903,1025.1675180367222,7.270991490654189e-212,-6.6860766312867e-18,1.0000188201639257,0.6784037244476514,21.754198000649087,525920.2652150384,0.0,0.015571121128923782,best_pure_AR,-64857.25702677183,-64873.63195229795,[],[],-0.0006106410656563
15min,0,0,4,60.0,8.052794597633907,4,0.08966329292664688,323.6958871643973,8.358213752955091e-69,-7.634162297603154e-16,1.0000564636797833,0.4881073165439256,8.432951797431704,26592.970609207074,0.0,0.02334993139472684,BIC,-12162.968658042575,-12177.146358991353,[],[],-0.0018319231969689
15min,4,3,10,150.0,3.8858403448998002,3,0.27405810204463854,345.510348096926,3.572793368741039e-68,0.001535480071382187,1.0000552847630013,0.49316981892412337,8.446649469144688,26685.619907107564,0.0,0.015564146730787008,AIC,-12116.32202266384,-12180.121676933337,"[2.381554294226365, -2.09190806520257, 0.6864012628349431, 0.018840819231465043]","[-2.3770082970640156, 2.0857254028226326, -0.7013437518336868]",-0.0018300938875803
15min,0,0,4,60.0,8.052794597633907,4,0.08966329292664688,323.6958871643973,8.358213752955091e-69,-7.634162297603154e-16,1.0000564636797833,0.4881073165439256,8.432951797431704,26592.970609207074,0.0,0.02334993139472684,best_pure_AR,-12162.968658042575,-12177.146358991353,[],[],-0.0018319231969689
30min,0,0,4,120.0,4.963034372621893,4,0.29111147357606915,112.27816263596291,2.3770593103073624e-23,-4.813975174526424e-16,1.000112936925088,0.1841795083649412,5.0656346460563615,4759.425234152295,0.0,0.021713307384203448,BIC,-3051.4848211191916,-3064.2762277068487,[],[],-0.0036638463939379
