scale,segment,start,end,n,specification,test,trend,null,adf_max_lags,lag_rule,small_sample,status,statistic,pvalue,critical_1,critical_5,critical_10,lags,nobs,reject_5pct,warning
1d,1,2024-01-02,2024-02-05,25,main,ADF,c,unit_root,4.0,bic,False,ok,-7.252426209257221,1.7658328245465364e-10,-3.7377092158564813,-2.9922162731481485,-2.635746736111111,0.0,24.0,True,
1d,1,2024-01-02,2024-02-05,25,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-7.7607394725772325,9.469887030711783e-12,-3.7377092158564813,-2.9922162731481485,-2.635746736111111,2.0,24.0,True,
1d,1,2024-01-02,2024-02-05,25,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.09986731115854319,0.5861634442072841,0.7428,0.4614,0.3475,2.0,25.0,False,
1d,1,2024-01-02,2024-02-05,25,trend_sensitivity,ADF,ct,unit_root,4.0,bic,False,ok,-7.216339418373257,4.5544782069839e-09,-4.395041166087963,-3.6123930960648147,-3.243216493055556,0.0,24.0,True,
1d,1,2024-01-02,2024-02-05,25,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-7.86714597505652,1.4492789894320037e-10,-4.395041166087963,-3.6123930960648147,-3.243216493055556,2.0,24.0,True,
1d,1,2024-01-02,2024-02-05,25,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.07502155605326903,0.3052187995902382,0.2175,0.1479,0.1193,2.0,25.0,False,
1d,1,2024-01-02,2024-02-05,25,lag_sensitivity,ADF,c,unit_root,4.0,aic,False,ok,-7.252426209257221,1.7658328245465364e-10,-3.7377092158564813,-2.9922162731481485,-2.635746736111111,0.0,24.0,True,
1d,1,2024-01-02,2024-02-05,25,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-7.9992983172544685,2.357498838469825e-12,-3.7377092158564813,-2.9922162731481485,-2.635746736111111,4.0,24.0,True,
1d,1,2024-01-02,2024-02-05,25,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.12424051580967518,0.4793137533828611,0.7428,0.4614,0.3475,4.0,25.0,False,
1d,2,2024-02-07,2024-02-09,3,main,ADF,c,unit_root,0.0,bic,True,too_short,,,,,,,,,n < 8; test not computed
1d,2,2024-02-07,2024-02-09,3,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,too_short,,,,,,,,,n < 8; test not computed
