scale,segment,start,end,n,specification,test,trend,null,adf_max_lags,lag_rule,small_sample,status,statistic,pvalue,critical_1,critical_5,critical_10,lags,nobs,reject_5pct,warning
30min,2024-01-02,2024-01-02,2024-01-02,18,main,ADF,c,unit_root,2.0,bic,True,ok,-4.086021958110434,0.0010213531977833325,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-02,2024-01-02,2024-01-02,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-4.085999610233545,0.0010214397775033647,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,True,
30min,2024-01-02,2024-01-02,2024-01-02,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.09448797647300755,0.6130601176349623,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-02,2024-01-02,2024-01-02,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-4.086021958110434,0.0010213531977833325,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-02,2024-01-02,2024-01-02,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-4.153669104971469,0.0007885367765304398,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,True,
30min,2024-01-02,2024-01-02,2024-01-02,18,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.14242011710975733,0.41416629131488036,0.7428,0.4614,0.3475,4,18,False,
30min,2024-01-03,2024-01-03,2024-01-03,18,main,ADF,c,unit_root,2.0,bic,True,ok,-5.055156819639055,1.724136737828112e-05,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-03,2024-01-03,2024-01-03,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-5.170274047340911,1.0107523627459624e-05,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,True,
30min,2024-01-03,2024-01-03,2024-01-03,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.3631117845651766,0.09074035369817436,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-03,2024-01-03,2024-01-03,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-5.055156819639055,1.724136737828112e-05,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-03,2024-01-03,2024-01-03,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-5.134526832738523,1.19427729377705e-05,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,True,
30min,2024-01-03,2024-01-03,2024-01-03,18,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.3671242143223176,0.08851944873787085,0.7428,0.4614,0.3475,4,18,False,
30min,2024-01-04,2024-01-04,2024-01-04,18,main,ADF,c,unit_root,2.0,bic,True,ok,-4.684045720152327,9.015595778480338e-05,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-04,2024-01-04,2024-01-04,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-4.683151535748872,9.050426519095969e-05,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,True,
30min,2024-01-04,2024-01-04,2024-01-04,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.234439388445335,0.20980640493703476,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-04,2024-01-04,2024-01-04,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-4.684045720152327,9.015595778480338e-05,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-04,2024-01-04,2024-01-04,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-4.707358339435362,8.151475324675485e-05,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,True,
30min,2024-01-04,2024-01-04,2024-01-04,18,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.27818172473912345,0.15626903673007975,0.7428,0.4614,0.3475,4,18,False,
30min,2024-01-05,2024-01-05,2024-01-05,18,main,ADF,c,unit_root,2.0,bic,True,ok,-3.034823557598864,0.03176782808352558,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,False,
30min,2024-01-05,2024-01-05,2024-01-05,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-3.0196668828173334,0.03309813402352699,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,False,
30min,2024-01-05,2024-01-05,2024-01-05,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.1346657036821451,0.4403229325953935,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-05,2024-01-05,2024-01-05,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-3.034823557598864,0.03176782808352558,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,False,
30min,2024-01-05,2024-01-05,2024-01-05,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-2.992418152868424,0.035608541549977085,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,False,
30min,2024-01-05,2024-01-05,2024-01-05,18,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.1436135825444711,0.4103410815882336,0.7428,0.4614,0.3475,4,18,False,
30min,2024-01-08,2024-01-08,2024-01-08,18,main,ADF,c,unit_root,2.0,bic,True,ok,-7.5265819796511355,3.671159467574211e-11,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-08,2024-01-08,2024-01-08,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-7.462143065798508,5.319325551605977e-11,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,True,
30min,2024-01-08,2024-01-08,2024-01-08,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.10387269975119276,0.5668620204269579,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-08,2024-01-08,2024-01-08,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-7.5265819796511355,3.671159467574211e-11,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-08,2024-01-08,2024-01-08,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-7.916832929745417,3.8162563614800456e-12,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,True,
30min,2024-01-08,2024-01-08,2024-01-08,18,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.14431744148180692,0.40808512345574705,0.7428,0.4614,0.3475,4,18,False,
30min,2024-01-09,2024-01-09,2024-01-09,18,main,ADF,c,unit_root,2.0,bic,True,ok,-6.135235857722009,8.217416767181071e-08,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-09,2024-01-09,2024-01-09,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-6.854202488053117,1.6644717457201767e-09,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,True,
30min,2024-01-09,2024-01-09,2024-01-09,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.24886682136995325,0.19017074183339325,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-09,2024-01-09,2024-01-09,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-6.135235857722009,8.217416767181071e-08,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-09,2024-01-09,2024-01-09,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-7.116622217592871,3.8161416004400773e-10,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,True,
30min,2024-01-09,2024-01-09,2024-01-09,18,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.2949719478251447,0.1397724285982053,0.7428,0.4614,0.3475,4,18,False,
30min,2024-01-10,2024-01-10,2024-01-10,18,main,ADF,c,unit_root,2.0,bic,True,ok,-1.6416912352151845,0.4613772104147832,-3.9240193847656246,-3.0684982031250003,-2.67389265625,1,16,False,
30min,2024-01-10,2024-01-10,2024-01-10,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-4.156001300177867,0.0007814763313266672,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,True,
30min,2024-01-10,2024-01-10,2024-01-10,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.27251835141039926,0.16216838394750077,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-10,2024-01-10,2024-01-10,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-1.6416912352151845,0.4613772104147832,-3.9240193847656246,-3.0684982031250003,-2.67389265625,1,16,False,
30min,2024-01-10,2024-01-10,2024-01-10,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-4.216258349730442,0.0006183671396654701,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,True,
30min,2024-01-10,2024-01-10,2024-01-10,18,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.24761127207362518,0.19178042041842924,0.7428,0.4614,0.3475,4,18,False,
30min,2024-01-11,2024-01-11,2024-01-11,18,main,ADF,c,unit_root,2.0,bic,True,ok,-4.964356901346689,2.60948850059838e-05,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-11,2024-01-11,2024-01-11,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-5.078306026918426,1.5497628861420265e-05,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,True,
30min,2024-01-11,2024-01-11,2024-01-11,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.11156568886924037,0.5315195960489074,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-11,2024-01-11,2024-01-11,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-4.964356901346689,2.60948850059838e-05,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-11,2024-01-11,2024-01-11,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-5.152932487786005,1.0960883551717747e-05,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,True,
30min,2024-01-11,2024-01-11,2024-01-11,18,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.12356616494318116,0.48197566469796904,0.7428,0.4614,0.3475,4,18,False,
30min,2024-01-12,2024-01-12,2024-01-12,18,main,ADF,c,unit_root,2.0,bic,True,ok,-2.801452915232378,0.0580665289957762,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,False,
30min,2024-01-12,2024-01-12,2024-01-12,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-2.7750474084771057,0.0619274150685804,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,False,
30min,2024-01-12,2024-01-12,2024-01-12,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.14553781777766486,0.4041736609690229,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-12,2024-01-12,2024-01-12,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-3.2272903040641965,0.01845836601491825,-3.9240193847656246,-3.0684982031250003,-2.67389265625,1,16,True,
30min,2024-01-12,2024-01-12,2024-01-12,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-2.58423481803389,0.09629958293575347,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,False,
30min,2024-01-12,2024-01-12,2024-01-12,18,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.2142761157860254,0.24182836466781177,0.7428,0.4614,0.3475,4,18,False,
30min,2024-01-15,2024-01-15,2024-01-15,18,main,ADF,c,unit_root,2.0,bic,True,ok,-4.1695441680661505,0.0007416356056018689,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-15,2024-01-15,2024-01-15,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-4.569495631093892,0.0001469664041633038,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,True,
30min,2024-01-15,2024-01-15,2024-01-15,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.25746715500278056,0.17923020576602242,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-15,2024-01-15,2024-01-15,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-4.1695441680661505,0.0007416356056018689,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-15,2024-01-15,2024-01-15,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-5.017936463193056,2.0448872055716225e-05,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,True,
30min,2024-01-15,2024-01-15,2024-01-15,18,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.28819131773661893,0.14619874501274388,0.7428,0.4614,0.3475,4,18,False,
30min,2024-01-16,2024-01-16,2024-01-16,18,main,ADF,c,unit_root,2.0,bic,True,ok,-5.498534685252056,2.096614144518842e-06,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-16,2024-01-16,2024-01-16,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-5.579679193221202,1.4058827837509426e-06,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,True,
30min,2024-01-16,2024-01-16,2024-01-16,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.28064501154239363,0.1537031129766733,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-16,2024-01-16,2024-01-16,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-1.3929672340802732,0.5856430322186598,-3.9644434814814815,-3.0849081481481484,-2.6818144444444445,2,15,False,
30min,2024-01-16,2024-01-16,2024-01-16,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-5.4844427431259035,2.246352154573848e-06,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,True,
