scale,segment,start,end,n,specification,test,trend,null,adf_max_lags,lag_rule,small_sample,status,statistic,pvalue,critical_1,critical_5,critical_10,lags,nobs,reject_5pct,warning
1min,2024-01-02,2024-01-02,2024-01-02,540,main,ADF,c,unit_root,12.0,bic,False,ok,-20.451736682799922,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-02,2024-01-02,2024-01-02,540,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-20.619070590274994,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,6.0,539.0,True,
1min,2024-01-02,2024-01-02,2024-01-02,540,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.08145760322888351,0.6840137519654225,0.7428,0.4614,0.3475,6.0,540.0,False,
1min,2024-01-02,2024-01-02,2024-01-02,540,trend_sensitivity,ADF,ct,unit_root,12.0,bic,False,ok,-20.43252444732267,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,0.0,539.0,True,
1min,2024-01-02,2024-01-02,2024-01-02,540,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-20.600641381749103,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,6.0,539.0,True,
1min,2024-01-02,2024-01-02,2024-01-02,540,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.08304022191134855,0.2484986130540716,0.2175,0.1479,0.1193,6.0,540.0,False,
1min,2024-01-02,2024-01-02,2024-01-02,540,lag_sensitivity,ADF,c,unit_root,12.0,aic,False,ok,-20.451736682799922,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-02,2024-01-02,2024-01-02,540,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-20.613640301646488,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,12.0,539.0,True,
1min,2024-01-02,2024-01-02,2024-01-02,540,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.0806525387422853,0.6886329744295105,0.7428,0.4614,0.3475,12.0,540.0,False,
1min,2024-01-03,2024-01-03,2024-01-03,540,main,ADF,c,unit_root,12.0,bic,False,ok,-23.03160919389886,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-03,2024-01-03,2024-01-03,540,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-23.046050638150085,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,6.0,539.0,True,
1min,2024-01-03,2024-01-03,2024-01-03,540,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.16982901507061637,0.33507824477117076,0.7428,0.4614,0.3475,6.0,540.0,False,
1min,2024-01-03,2024-01-03,2024-01-03,540,trend_sensitivity,ADF,ct,unit_root,12.0,bic,False,ok,-23.089976982867743,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,0.0,539.0,True,
1min,2024-01-03,2024-01-03,2024-01-03,540,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-23.098361723019917,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,6.0,539.0,True,
1min,2024-01-03,2024-01-03,2024-01-03,540,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.031645294635714166,0.8490397847689093,0.2175,0.1479,0.1193,6.0,540.0,False,
1min,2024-01-03,2024-01-03,2024-01-03,540,lag_sensitivity,ADF,c,unit_root,12.0,aic,False,ok,-9.881504050431888,3.7593748064564763e-17,-3.442678467240966,-2.8669778698997543,-2.5696661916864083,6.0,533.0,True,
1min,2024-01-03,2024-01-03,2024-01-03,540,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-23.03577932391748,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,12.0,539.0,True,
1min,2024-01-03,2024-01-03,2024-01-03,540,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.19022796012473225,0.287812850798442,0.7428,0.4614,0.3475,12.0,540.0,False,
1min,2024-01-04,2024-01-04,2024-01-04,540,main,ADF,c,unit_root,12.0,bic,False,ok,-20.044331375537716,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-04,2024-01-04,2024-01-04,540,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-19.979731178375168,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,6.0,539.0,True,
1min,2024-01-04,2024-01-04,2024-01-04,540,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.17605011356321662,0.3194250262914561,0.7428,0.4614,0.3475,6.0,540.0,False,
1min,2024-01-04,2024-01-04,2024-01-04,540,trend_sensitivity,ADF,ct,unit_root,12.0,bic,False,ok,-20.067457816990125,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,0.0,539.0,True,
1min,2024-01-04,2024-01-04,2024-01-04,540,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-19.995582282285255,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,6.0,539.0,True,
1min,2024-01-04,2024-01-04,2024-01-04,540,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.038870861940717344,0.7394620070876953,0.2175,0.1479,0.1193,6.0,540.0,False,
1min,2024-01-04,2024-01-04,2024-01-04,540,lag_sensitivity,ADF,c,unit_root,12.0,aic,False,ok,-20.044331375537716,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-04,2024-01-04,2024-01-04,540,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-19.90613815037896,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,12.0,539.0,True,
1min,2024-01-04,2024-01-04,2024-01-04,540,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.1860173124519791,0.29677167563408696,0.7428,0.4614,0.3475,12.0,540.0,False,
1min,2024-01-05,2024-01-05,2024-01-05,540,main,ADF,c,unit_root,12.0,bic,False,ok,-23.95587438729087,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-05,2024-01-05,2024-01-05,540,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-23.954063050970102,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,6.0,539.0,True,
1min,2024-01-05,2024-01-05,2024-01-05,540,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.17565870264563416,0.3203568115009239,0.7428,0.4614,0.3475,6.0,540.0,False,
1min,2024-01-05,2024-01-05,2024-01-05,540,trend_sensitivity,ADF,ct,unit_root,12.0,bic,False,ok,-23.959116342137214,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,0.0,539.0,True,
1min,2024-01-05,2024-01-05,2024-01-05,540,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-23.958499063922567,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,6.0,539.0,True,
1min,2024-01-05,2024-01-05,2024-01-05,540,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.0951163074883879,0.18277453668798324,0.2175,0.1479,0.1193,6.0,540.0,False,
1min,2024-01-05,2024-01-05,2024-01-05,540,lag_sensitivity,ADF,c,unit_root,12.0,aic,False,ok,-23.95587438729087,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-05,2024-01-05,2024-01-05,540,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-23.94729021402416,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,12.0,539.0,True,
