scale,segment,start,end,n,specification,test,trend,null,adf_max_lags,lag_rule,small_sample,status,statistic,pvalue,critical_1,critical_5,critical_10,lags,nobs,reject_5pct,warning
1min,2024-01-02,2024-01-02,2024-01-02,540,main,ADF,c,unit_root,12.0,bic,False,ok,-20.45173668279992,0.0,-3.4425405682241816,-2.8669171671779816,-2.569633843233364,0.0,539.0,True,
1min,2024-01-02,2024-01-02,2024-01-02,540,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-20.619070590274998,0.0,-3.4425405682241816,-2.8669171671779816,-2.569633843233364,6.0,539.0,True,
1min,2024-01-02,2024-01-02,2024-01-02,540,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.0814576032288835,0.6840137519654225,0.7428,0.4614,0.3475,6.0,540.0,False,
5min,2024-01-02,2024-01-02,2024-01-02,108,main,ADF,c,unit_root,12.0,bic,False,ok,-8.750052063490207,2.8527364917224946e-14,-3.492995948509562,-2.888954648057252,-2.58139291903223,0.0,107.0,True,
5min,2024-01-02,2024-01-02,2024-01-02,108,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-8.679164406053621,4.333072599241381e-14,-3.492995948509562,-2.888954648057252,-2.58139291903223,4.0,107.0,True,
5min,2024-01-02,2024-01-02,2024-01-02,108,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.0857876230128276,0.6597038744754855,0.7428,0.4614,0.3475,4.0,108.0,False,
15min,2024-01-02,2024-01-02,2024-01-02,36,main,ADF,c,unit_root,6.0,bic,False,ok,-5.975559002661666,1.891223981649057e-07,-3.632742664723032,-2.9485102040816327,-2.613017346938776,0.0,35.0,True,
15min,2024-01-02,2024-01-02,2024-01-02,36,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-5.9873119769181145,1.779486432527637e-07,-3.632742664723032,-2.9485102040816327,-2.613017346938776,3.0,35.0,True,
15min,2024-01-02,2024-01-02,2024-01-02,36,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.094101306974322,0.6149934651283896,0.7428,0.4614,0.3475,3.0,36.0,False,
30min,2024-01-02,2024-01-02,2024-01-02,18,main,ADF,c,unit_root,2.0,bic,True,ok,-4.086021958110434,0.0010213531977833,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0.0,17.0,True,
30min,2024-01-02,2024-01-02,2024-01-02,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-4.085999610233545,0.0010214397775033,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2.0,17.0,True,
30min,2024-01-02,2024-01-02,2024-01-02,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.0944879764730075,0.6130601176349623,0.7428,0.4614,0.3475,2.0,18.0,False,
60min,2024-01-02,2024-01-02,2024-01-02,9,main,ADF,c,unit_root,0.0,bic,True,ok,-2.493595780045245,0.1170403267972148,-4.665186328125,-3.367186875,-2.802960625,0.0,8.0,False,
60min,2024-01-02,2024-01-02,2024-01-02,9,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-2.3876479004738838,0.1452530902658685,-4.665186328125,-3.367186875,-2.802960625,2.0,8.0,False,
60min,2024-01-02,2024-01-02,2024-01-02,9,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.1549772178923788,0.3754249467488725,0.7428,0.4614,0.3475,2.0,9.0,False,
1d,7,2024-06-12,2024-08-13,45,main,ADF,c,unit_root,8.0,bic,False,ok,-6.886386608286124,1.391124989006039e-09,-3.5885733964124715,-2.929885661157025,-2.6031845661157025,0.0,44.0,True,
1d,7,2024-06-12,2024-08-13,45,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-6.879379122769836,1.4465820804112442e-09,-3.5885733964124715,-2.929885661157025,-2.6031845661157025,3.0,44.0,True,
1d,7,2024-06-12,2024-08-13,45,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.1648605869355534,0.3478555303968313,0.7428,0.4614,0.3475,3.0,45.0,False,
