scale,specification,test,segments,rejection_share
1min,main,ADF,246,1.0
1min,main,PP,246,1.0
1min,main,KPSS,246,0.06097560975609756
1min,trend_sensitivity,ADF,246,1.0
1min,trend_sensitivity,PP,246,1.0
1min,trend_sensitivity,KPSS,246,0.036585365853658534
1min,lag_sensitivity,ADF,246,1.0
1min,lag_sensitivity,PP,246,1.0
1min,lag_sensitivity,KPSS,246,0.06910569105691057
5min,main,ADF,246,1.0
5min,main,PP,246,1.0
5min,main,KPSS,246,0.06097560975609756
5min,trend_sensitivity,ADF,246,1.0
5min,trend_sensitivity,PP,246,1.0
5min,trend_sensitivity,KPSS,246,0.04065040650406504
5min,lag_sensitivity,ADF,246,0.9796747967479674
5min,lag_sensitivity,PP,246,1.0
5min,lag_sensitivity,KPSS,246,0.052845528455284556
15min,main,ADF,246,0.959349593495935
15min,main,PP,246,1.0
15min,main,KPSS,246,0.036585365853658534
15min,trend_sensitivity,ADF,246,0.967479674796748
15min,trend_sensitivity,PP,246,0.991869918699187
15min,trend_sensitivity,KPSS,246,0.04065040650406504
15min,lag_sensitivity,ADF,246,0.8780487804878049
15min,lag_sensitivity,PP,246,0.9959349593495935
15min,lag_sensitivity,KPSS,246,0.028455284552845527
30min,main,ADF,246,0.8617886178861789
30min,main,PP,246,0.8943089430894309
30min,main,KPSS,246,0.04065040650406504
30min,lag_sensitivity,ADF,246,0.8414634146341463
30min,lag_sensitivity,PP,246,0.8902439024390244
30min,lag_sensitivity,KPSS,246,0.008130081300813009
60min,main,ADF,246,0.44715447154471544
60min,main,PP,246,0.47560975609756095
60min,main,KPSS,246,0.0
60min,lag_sensitivity,ADF,246,0.44715447154471544
60min,lag_sensitivity,PP,246,0.47560975609756095
60min,lag_sensitivity,KPSS,246,0.0
1d,main,ADF,7,0.8571428571428571
1d,main,PP,7,0.8571428571428571
1d,main,KPSS,7,0.0
1d,trend_sensitivity,ADF,6,1.0
1d,trend_sensitivity,PP,6,1.0
1d,trend_sensitivity,KPSS,6,0.16666666666666666
1d,lag_sensitivity,ADF,7,0.7142857142857143
1d,lag_sensitivity,PP,7,0.8571428571428571
1d,lag_sensitivity,KPSS,7,0.0
