scale,test,segments,n_min,n_max,statistic_median,pvalue_median,rejection_share,lags_min,lags_median,lags_max,critical_5_min,critical_5_max
1min,ADF,246,540,540,-23.47530335108675,0.0,1.0,0.0,0.0,4.0,-2.86695748394138,-2.8669171671779816
1min,PP,246,540,540,-23.683176860408516,0.0,1.0,6.0,6.0,6.0,-2.8669171671779816,-2.8669171671779816
1min,KPSS,246,540,540,0.11051717639898911,0.5362855618227768,0.06097560975609756,6.0,6.0,6.0,0.4614,0.4614
5min,ADF,246,108,108,-10.329172368097518,2.8759302211302575e-18,1.0,0.0,0.0,5.0,-2.8903209639580556,-2.888954648057252
5min,PP,246,108,108,-10.630844269977288,5.219420951102443e-19,1.0,4.0,4.0,4.0,-2.888954648057252,-2.888954648057252
5min,KPSS,246,108,108,0.12047323098723693,0.4941846145240647,0.06097560975609756,4.0,4.0,4.0,0.4614,0.4614
15min,ADF,246,36,36,-5.8097167023163845,4.431836733029624e-07,0.959349593495935,0.0,0.0,6.0,-2.9678817237279103,-2.9485102040816327
15min,PP,246,36,36,-6.209169018671813,5.562148407262659e-08,1.0,3.0,3.0,3.0,-2.9485102040816327,-2.9485102040816327
15min,KPSS,246,36,36,0.13827317730087324,0.42796857088742046,0.036585365853658534,3.0,3.0,3.0,0.4614,0.4614
30min,ADF,246,18,18,-4.346259010701274,0.00036904048441463563,0.8617886178861789,0.0,0.0,2.0,-3.0849081481481484,-3.0543579727254224
30min,PP,246,18,18,-4.461267488565,0.00023214101325145744,0.8943089430894309,2.0,2.0,2.0,-3.0543579727254224,-3.0543579727254224
30min,KPSS,246,18,18,0.1536229859786645,0.3794553988730223,0.04065040650406504,2.0,2.0,2.0,0.4614,0.4614
60min,ADF,246,9,9,-3.152616371115728,0.02292482673081321,0.44715447154471544,0.0,0.0,0.0,-3.3671868750000002,-3.3671868750000002
60min,PP,246,9,9,-3.275423637356216,0.016013423249391773,0.47560975609756095,2.0,2.0,2.0,-3.3671868750000002,-3.3671868750000002
60min,KPSS,246,9,9,0.22404566616205313,0.22558406676584647,0.0,2.0,2.0,2.0,0.4614,0.4614
1d,ADF,7,16,45,-6.445318435165993,1.5711525619758234e-08,0.8571428571428571,0.0,0.0,0.0,-3.0849081481481484,-2.929885661157025
1d,PP,7,16,45,-6.448001643685941,1.5485220223417966e-08,0.8571428571428571,2.0,3.0,3.0,-3.0849081481481484,-2.929885661157025
1d,KPSS,7,16,45,0.17860658751499447,0.31354807467817364,0.0,2.0,3.0,3.0,0.4614,0.4614
