scale,evaluation,horizon_bars,horizon_minutes,model,group_type,group,n,mse,mae,rmse,mse_ratio_vs_zero,mse_gain_vs_zero,n_candidate_origins_all,n_dropped_nonfinite_all
1min,native,1,1.0,ARMA_BIC,all,all,119340,0.0013093124075965,0.0245017581687492,0.0361844221675093,1.0005240805097897,-0.0005240805097896,119340,0
1min,native,1,1.0,ARMA_BIC,time_band,fim,13260,0.0005725755729708,0.0144031677567006,0.0239285514181467,1.0015555326800154,-0.0015555326800154,119340,0
1min,native,1,1.0,ARMA_BIC,time_band,inicio,13260,0.0020678958848237,0.0330981434127643,0.0454741232441458,1.0003452887630635,-0.0003452887630637,119340,0
1min,native,1,1.0,ARMA_BIC,time_band,meio,92820,0.0013061914586534,0.0247163589070397,0.0361412708500055,1.000499999375163,-0.0004999993751633,119340,0
1min,native,1,1.0,ARMA_BIC,gap_group,high,52380,0.0014562555684395,0.0256391004587912,0.038160916766236,1.0003394269881605,-0.0003394269881604,119340,0
1min,native,1,1.0,ARMA_BIC,gap_group,low,61560,0.0011738188531019,0.0233483888757755,0.0342610398718715,1.0007650572535496,-0.0007650572535495,119340,0
1min,native,1,1.0,AR_BIC,all,all,119340,0.0013086514808808,0.024482108162689,0.0361752882625808,1.000019026795565,-1.9026795565313392e-05,119340,0
1min,native,1,1.0,AR_BIC,time_band,fim,13260,0.0005718111597222,0.0143832786768533,0.0239125732559731,1.0002184125607825,-0.0002184125607822,119340,0
1min,native,1,1.0,AR_BIC,time_band,inicio,13260,0.0020668618786753,0.0330777265868614,0.0454627526517628,0.9998450879615172,0.0001549120384827,119340,0
1min,native,1,1.0,AR_BIC,time_band,meio,92820,0.0013055986127899,0.0246968526000694,0.0361330681341891,1.0000458988050391,-4.5898805039135127e-05,119340,0
1min,native,1,1.0,AR_BIC,gap_group,high,52380,0.0014559591952167,0.0256240837758967,0.0381570333649876,1.0001358405941845,-0.0001358405941844,119340,0
1min,native,1,1.0,AR_BIC,gap_group,low,61560,0.0011727969715779,0.0233233786857051,0.0342461234532896,0.999893829704949,0.000106170295051,119340,0
1min,native,1,1.0,MA_BIC,all,all,119340,0.0013086508302965,0.024482068802703,0.0361752792704704,1.0000185296451205,-1.852964512027988e-05,119340,0
1min,native,1,1.0,MA_BIC,time_band,fim,13260,0.000571810818373,0.0143832342540084,0.0239125661185295,1.0002178154689183,-0.0002178154689185,119340,0
1min,native,1,1.0,MA_BIC,time_band,inicio,13260,0.0020668617726009,0.0330776885058624,0.0454627514851544,0.9998450366479636,0.0001549633520363,119340,0
1min,native,1,1.0,MA_BIC,time_band,meio,92820,0.0013055978402421,0.0246968137806367,0.0361330574438714,1.0000453070586228,-4.530705862282325e-05,119340,0
1min,native,1,1.0,MA_BIC,gap_group,high,52380,0.0014559582430298,0.0256240158658772,0.0381570208877719,1.0001351865124897,-0.0001351865124896,119340,0
1min,native,1,1.0,MA_BIC,gap_group,low,61560,0.0011727962246055,0.0233233590919788,0.0342461125473475,0.9998931928572506,0.0001068071427493,119340,0
1min,native,1,1.0,AR_MA_50_50,all,all,119340,0.0013086511535464,0.0244820883974047,0.0361752837382987,1.000018776659735,-1.87766597350425e-05,119340,0
1min,native,1,1.0,AR_MA_50_50,time_band,fim,13260,0.0005718109881454,0.0143832563932688,0.0239125696683873,1.0002181124367395,-0.0002181124367397,119340,0
1min,native,1,1.0,AR_MA_50_50,time_band,inicio,13260,0.002066861822557,0.0330777074371137,0.0454627520345732,0.9998450608142846,0.0001549391857154,119340,0
1min,native,1,1.0,AR_MA_50_50,time_band,meio,92820,0.0013055982244593,0.0246968331066086,0.0361330627605703,1.00004560135645,-4.560135645004237e-05,119340,0
1min,native,1,1.0,AR_MA_50_50,gap_group,high,52380,0.0014559587168352,0.025624049653031,0.0381570270963983,1.000135511981621,-0.0001355119816213,119340,0
1min,native,1,1.0,AR_MA_50_50,gap_group,low,61560,0.001172796596277,0.0233233688663214,0.0342461179738233,0.9998935097338932,0.0001064902661066,119340,0
1min,native,1,1.0,ZERO,all,all,119340,0.0013086265819103,0.0244794318921029,0.0361749441175846,1.0,0.0,119340,0
1min,native,1,1.0,ZERO,time_band,fim,13260,0.0005716862962543,0.0143747394677939,0.0239099622804878,1.0,0.0,119340,0
1min,native,1,1.0,ZERO,time_band,inicio,13260,0.0020671821100699,0.033078404046814,0.045466274424786,1.0,0.0,119340,0
1min,native,1,1.0,ZERO,time_band,meio,92820,0.0013055386901241,0.0246945347877597,0.0361322389304087,1.0,0.0,119340,0
1min,native,1,1.0,ZERO,gap_group,high,52380,0.0014557614437172,0.0256223457435176,0.0381544419919525,1.0,0.0,119340,0
1min,native,1,1.0,ZERO,gap_group,low,61560,0.0011729215009997,0.0233199837285206,0.0342479415585782,1.0,0.0,119340,0
1min,native,1,1.0,TRAIN_MEAN,all,all,119340,0.0013086697908831,0.0244872217358967,0.0361755413350392,1.0000330185656934,-3.30185656933768e-05,119340,0
1min,native,1,1.0,TRAIN_MEAN,time_band,fim,13260,0.0005717131137907,0.0143893838010427,0.0239105230764778,1.0000469095316844,-4.6909531684402594e-05,119340,0
1min,native,1,1.0,TRAIN_MEAN,time_band,inicio,13260,0.0020672110991982,0.0330843723033833,0.045466593221818,1.000014023499995,-1.4023499995019506e-05,119340,0
1min,native,1,1.0,TRAIN_MEAN,time_band,meio,92820,0.001305586272137,0.0247016056455206,0.0361328973670396,1.0000364462679163,-3.64462679165456e-05,119340,0
1min,native,1,1.0,TRAIN_MEAN,gap_group,high,52380,0.0014558030307688,0.0256296202762585,0.0381549869711527,1.000028567215968,-2.856721596788958e-05,119340,0
1min,native,1,1.0,TRAIN_MEAN,gap_group,low,61560,0.0011729832628497,0.0233283557405319,0.0342488432337465,1.0000526564223642,-5.265642236418344e-05,119340,0
1min,common_60min,60,60.0,ARMA_BIC,all,all,1989,0.0767557531206328,0.1936674310354485,0.2770482866228066,1.001940349524323,-0.001940349524323,1989,0
1min,common_60min,60,60.0,ARMA_BIC,time_band,fim,221,0.0272768478561817,0.1117191365260161,0.1651570399837129,1.0043566582505867,-0.0043566582505867,1989,0
1min,common_60min,60,60.0,ARMA_BIC,time_band,inicio,221,0.1217339823306725,0.2580791383559513,0.3489039729362113,1.0009929131442443,-0.0009929131442445,1989,0
1min,common_60min,60,60.0,ARMA_BIC,time_band,meio,1547,0.0773987068426916,0.1961726577767242,0.2782062307761845,1.0020320789977089,-0.0020320789977088,1989,0
1min,common_60min,60,60.0,ARMA_BIC,gap_group,high,873,0.0791536195907073,0.1974959621094462,0.2813425307178198,1.0021126448104014,-0.0021126448104014,1989,0
1min,common_60min,60,60.0,ARMA_BIC,gap_group,low,1026,0.0708314345131093,0.1853995841454547,0.2661417564252354,1.002747652548563,-0.002747652548563,1989,0
1min,common_60min,60,60.0,AR_BIC,all,all,1989,0.0767681380132901,0.1936661955005694,0.2770706372268453,1.002102017193173,-0.0021020171931729,1989,0
1min,common_60min,60,60.0,AR_BIC,time_band,fim,221,0.0272568891537457,0.1116342983529304,0.165096605518544,1.0036217619096557,-0.0036217619096556,1989,0
1min,common_60min,60,60.0,AR_BIC,time_band,inicio,221,0.121713247796823,0.2580565739166502,0.3488742578592222,1.0008224174367744,-0.0008224174367743,1989,0
1min,common_60min,60,60.0,AR_BIC,time_band,meio,1547,0.0774204435955774,0.1961864124622206,0.2782452939324894,1.0023134909821374,-0.0023134909821374,1989,0
1min,common_60min,60,60.0,AR_BIC,gap_group,high,873,0.0791473234086907,0.1974418493037663,0.2813313409641569,1.0020329329330984,-0.0020329329330983,1989,0
1min,common_60min,60,60.0,AR_BIC,gap_group,low,1026,0.0708637405624113,0.1854440697845728,0.2662024428182645,1.0032050033748363,-0.0032050033748365,1989,0
1min,common_60min,60,60.0,MA_BIC,all,all,1989,0.0767682352557159,0.1936662410298479,0.2770708127098845,1.00210328655874,-0.00210328655874,1989,0
1min,common_60min,60,60.0,MA_BIC,time_band,fim,221,0.0272569178244069,0.11163434401983,0.1650966923484748,1.0036228175877029,-0.0036228175877028,1989,0
1min,common_60min,60,60.0,MA_BIC,time_band,inicio,221,0.1217131924822867,0.2580564912222226,0.3488741785834639,1.0008219625969847,-0.0008219625969847,1989,0
1min,common_60min,60,60.0,MA_BIC,time_band,meio,1547,0.0774205724278213,0.1961864762895112,0.27824552544079,1.0023151588916732,-0.0023151588916732,1989,0
1min,common_60min,60,60.0,MA_BIC,gap_group,high,873,0.0791474664712774,0.1974417373799085,0.2813315952239944,1.0020347441557294,-0.0020347441557293,1989,0
