p,q,nobs,parameters,sequence,trend,llf,aic,bic,mu_pct,sigma2_pct,sigma_pct,ar,ma,params_json,converged,min_ar_root,min_ma_root,method,attempts,numerical_attempts,status,delta_bic,selected,scale
0,0,132840,2,annual_trading_time,c,268306.7097904363,-536609.4195808726,-536589.8257795216,-0.0001221282131312,0.0010307959202344,0.0321060106558634,[],[],"[-0.0001221282131312408, 0.0010307959202344168]",True,inf,inf,closed_form_gaussian_ml,1,"[{""method"": ""closed_form_gaussian_ml"", ""converged"": true, ""message"": ""mu=sample_mean; sigma2=sample_variance_ddof0"", ""iterations"": 0}]",eligible,1.2399190565338358,False,1min
0,1,132840,3,annual_trading_time,c,268311.11050708755,-536616.2210141751,-536586.8303121487,-0.0001221219317556,0.0010307276063991,0.032104946759014,[],[-0.00816113703273181],"[-0.0001221219317556912, -0.00816113703273181, 0.001030727606399128]",True,inf,122.53194573125138,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 0.0, ""warning"": """"}]",eligible,4.235386429470964,False,1min
1,0,132840,3,annual_trading_time,c,268311.08731721534,-536616.1746344307,-536586.7839324042,-0.0001221220134365,0.0010307279806793,0.0321049525880251,[-0.008118305315019331],[],"[-0.00012212201343652816, -0.008118305315019331, 0.0010307279806793404]",True,123.1784173169667,inf,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 2.1908935905530373e-08, ""warning"": """"}]",eligible,4.281766173895448,False,1min
0,2,132840,4,annual_trading_time,c,268311.547660942,-536615.0953218839,-536575.907719182,-0.0001221200498623,0.0010307208304751,0.0321048412311153,[],"[-0.008124211133492959, -0.0025547755112691932]","[-0.00012212004986235074, -0.008124211133492959, -0.0025547755112691932, 0.0010307208304751268]",True,inf,18.25821768435227,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 2.1908935905530373e-08, ""warning"": """"}]",eligible,15.157979396171868,False,1min
1,1,132840,4,annual_trading_time,c,268311.337335598,-536614.6746711959,-536575.487068494,-0.0001221206924844,0.0010307241880389,0.0321048935216886,[0.15384007204229386],[-0.16208774666365527],"[-0.00012212069248441958, 0.15384007204229386, -0.16208774666365527, 0.0010307241880389646]",True,6.500256966371408,6.169497821911721,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 2.1908935916932156e-07, ""warning"": """"}]",eligible,15.578630084171891,False,1min
2,0,132840,4,annual_trading_time,c,268311.5689453784,-536615.1378907568,-536575.9502880549,-0.0001221200319194,0.0010307204915676,0.0321048359529779,"[-0.008140237246708336, -0.002692886614444603]",[],"[-0.00012212003191949873, -0.008140237246708336, -0.002692886614444603, 0.0010307204915676281]",True,19.270410503496134,inf,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 2.190893579531313e-08, ""warning"": """"}]",eligible,15.115410523256289,False,1min
0,3,132840,5,annual_trading_time,c,268312.1760339985,-536614.352067997,-536565.3675646195,-0.0001221229309693,0.0010307111193477,0.0321046899899029,[],"[-0.008158482740822271, -0.002557395677622276, 0.0030477454133246173]","[-0.00012212293096933958, -0.008158482740822271, -0.002557395677622276, 0.0030477454133246173, 0.0010307111193477746]",True,inf,6.752761792492528,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 2.190893579531313e-08, ""warning"": """"}]",eligible,25.69813395862002,False,1min
1,2,132840,5,annual_trading_time,c,268311.67130162683,-536613.3426032537,-536564.3580998762,-0.0001221202831492,0.0010307189201588,0.0321048114798836,[-0.19906277881227327],"[0.19093474731661722, -0.004451115964379173]","[-0.00012212028314927438, -0.19906277881227327, 0.19093474731661722, -0.004451115964379173, 0.001030718920158866]",True,5.023540844584778,4.718386969210236,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 4.3817871811060746e-08, ""warning"": """"}]",eligible,26.70759870193433,False,1min
2,1,132840,5,annual_trading_time,c,268311.6902933092,-536613.3805866183,-536564.3960832409,-0.0001221202827238,0.0010307186697287,0.0321048075796877,"[-0.20087090922718623, -0.004521376024399986]",[0.19273026044008107],"[-0.00012212028272386825, -0.20087090922718623, -0.004521376024399986, 0.19273026044008107, 0.0010307186697287752]",True,5.71296538201922,5.18859881015361,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 3, ""gls_iterations"": 2, ""gradient_per_observation"": 1.533625513387126e-07, ""warning"": """"}]",eligible,26.6696153372759,False,1min
3,0,132840,5,annual_trading_time,c,268312.17074948986,-536614.3414989797,-536565.3569956023,-0.0001221228677069,0.0010307111721828,0.032104690812759,"[-0.00813208394449348, -0.002668350774970139, 0.003010145312826436]",[],"[-0.0001221228677069391, -0.00813208394449348, -0.002668350774970139, 0.003010145312826436, 0.001030711172182852]",True,6.714005650224791,inf,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 2.1908935905530373e-08, ""warning"": """"}]",eligible,25.70870297588408,False,1min
