scale,evaluation,model_a,model_b,horizon_bars,variant,n,loss,q_requested,q,h_loss,mean_loss_difference,long_run_variance,statistic,p_value,status,lrv_estimator,reference_distribution,interpretation
1min,native,AR_BIC,MA_BIC,1,principal_serial_dependence,119340,squared,60,60,1,6.50584287518116e-10,4.161198167051445e-13,0.3484059540236348,0.7275359462333743,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
1min,native,AR_BIC,MA_BIC,1,ancillary_no_serial_dependence,119340,squared,0,0,1,6.50584287518116e-10,3.0426713112403175e-13,0.4074433628421789,0.6836831148763407,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
1min,native,AR_BIC,MA_BIC,1,principal_serial_dependence,119340,absolute,60,60,1,3.935998593324463e-08,9.037771555017776e-12,4.522884026438756,6.106130457987344e-06,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
1min,native,AR_BIC,MA_BIC,1,ancillary_no_serial_dependence,119340,absolute,0,0,1,3.935998593324463e-08,8.166711859801193e-12,4.75797893820857,1.9576918116397783e-06,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
1min,common_60min,AR_BIC,MA_BIC,60,principal_serial_dependence,1989,squared,1,1,1,-9.724242579641889e-08,7.516001563583261e-12,-1.5815049053366323,0.1139217104280688,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
1min,common_60min,AR_BIC,MA_BIC,60,ancillary_no_serial_dependence,1989,squared,0,0,1,-9.724242579641889e-08,8.207309803983764e-12,-1.513434258663199,0.1303283429513951,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
1min,common_60min,AR_BIC,MA_BIC,60,principal_serial_dependence,1989,absolute,1,1,1,-4.552927847461032e-08,1.815128970297464e-11,-0.4764805898734842,0.63378439636397,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
1min,common_60min,AR_BIC,MA_BIC,60,ancillary_no_serial_dependence,1989,absolute,0,0,1,-4.552927847461032e-08,1.9378970651243415e-11,-0.4611408602612685,0.6447479938382102,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
5min,native,AR_BIC,MA_BIC,1,principal_serial_dependence,23868,squared,12,12,1,-1.4166693195010417e-08,1.292900304736273e-12,-1.9247967922691245,0.0542666574039672,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
5min,native,AR_BIC,MA_BIC,1,ancillary_no_serial_dependence,23868,squared,0,0,1,-1.4166693195010417e-08,2.027248600499352e-12,-1.5371416862582932,0.1242718728022183,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
5min,native,AR_BIC,MA_BIC,1,principal_serial_dependence,23868,absolute,12,12,1,-1.3910716491459538e-07,2.417690032393001e-11,-4.370670895950602,1.2438831822890789e-05,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
5min,native,AR_BIC,MA_BIC,1,ancillary_no_serial_dependence,23868,absolute,0,0,1,-1.3910716491459538e-07,2.3638598760505096e-11,-4.4201555363871705,9.906461986477553e-06,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
5min,common_60min,AR_BIC,MA_BIC,12,principal_serial_dependence,1989,squared,1,1,1,-2.398286476005377e-09,1.0108433612991166e-11,-0.0336331323962775,0.9731730777371788,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
5min,common_60min,AR_BIC,MA_BIC,12,ancillary_no_serial_dependence,1989,squared,0,0,1,-2.398286476005377e-09,1.1698347086369903e-11,-0.0312641767420441,0.975061997558672,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
5min,common_60min,AR_BIC,MA_BIC,12,principal_serial_dependence,1989,absolute,1,1,1,-1.5611857646822372e-08,2.1489242930794087e-11,-0.1501592930263918,0.8806541738024899,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
5min,common_60min,AR_BIC,MA_BIC,12,ancillary_no_serial_dependence,1989,absolute,0,0,1,-1.5611857646822372e-08,2.2338051769370275e-11,-0.1472787624023664,0.8829269291399112,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
15min,native,AR_BIC,MA_BIC,1,principal_serial_dependence,7956,squared,4,4,1,4.4692249164612665e-08,5.495756196432529e-11,0.5376981895760946,0.5908004704969865,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
15min,native,AR_BIC,MA_BIC,1,ancillary_no_serial_dependence,7956,squared,0,0,1,4.4692249164612665e-08,5.140117276028968e-11,0.5559884751738984,0.5782343702993641,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
15min,native,AR_BIC,MA_BIC,1,principal_serial_dependence,7956,absolute,4,4,1,2.604404965618675e-07,1.8845322404138008e-10,1.6921030989463377,0.0906654805320041,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
15min,native,AR_BIC,MA_BIC,1,ancillary_no_serial_dependence,7956,absolute,0,0,1,2.604404965618675e-07,1.9010350037068783e-10,1.684742570664067,0.0920774753413105,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
15min,common_60min,AR_BIC,MA_BIC,4,principal_serial_dependence,1989,squared,1,1,1,2.643411075901315e-07,2.0098229600318252e-10,0.8313693201058409,0.4058648669290141,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
