scale,evaluation,model_a,model_b,max_abs_difference,equal_within_1e_10
1min,common_60min,ARMA_BIC,AR_BIC,0.0077220373557799,False
1min,common_60min,ARMA_BIC,AR_MA_50_50,0.0077244755089403,False
1min,common_60min,ARMA_BIC,MA_BIC,0.0077269136621008,False
1min,common_60min,ARMA_BIC,TRAIN_MEAN,0.0076906400329808,False
1min,common_60min,ARMA_BIC,ZERO,0.0150183328208552,False
1min,common_60min,AR_BIC,AR_MA_50_50,1.8324951421186744e-05,False
1min,common_60min,AR_BIC,MA_BIC,3.664990284238563e-05,False
1min,common_60min,AR_BIC,TRAIN_MEAN,0.0023500824598177,False
1min,common_60min,AR_BIC,ZERO,0.0087425653416326,False
1min,common_60min,AR_MA_50_50,MA_BIC,1.8324951421198887e-05,False
1min,common_60min,AR_MA_50_50,TRAIN_MEAN,0.0023681190478969,False
1min,common_60min,AR_MA_50_50,ZERO,0.0087608902930538,False
1min,common_60min,MA_BIC,TRAIN_MEAN,0.0023861556359761,False
1min,common_60min,MA_BIC,ZERO,0.008779215244475,False
1min,common_60min,TRAIN_MEAN,ZERO,0.0073276927878744,False
1min,native,ARMA_BIC,AR_BIC,0.0131637441416124,False
1min,native,ARMA_BIC,AR_MA_50_50,0.0131525022757743,False
1min,native,ARMA_BIC,MA_BIC,0.0131412604099362,False
1min,native,ARMA_BIC,TRAIN_MEAN,0.0133843672687868,False
1min,native,ARMA_BIC,ZERO,0.0132622390556555,False
1min,native,AR_BIC,AR_MA_50_50,5.685427566021542e-05,False
1min,native,AR_BIC,MA_BIC,0.0001137085513204,False
1min,native,AR_BIC,TRAIN_MEAN,0.0105023109467419,False
1min,native,AR_BIC,ZERO,0.0106244391598731,False
1min,native,AR_MA_50_50,MA_BIC,5.685427566021542e-05,False
1min,native,AR_MA_50_50,TRAIN_MEAN,0.0105517030810214,False
1min,native,AR_MA_50_50,ZERO,0.0106738312941527,False
1min,native,MA_BIC,TRAIN_MEAN,0.010601095215301,False
1min,native,MA_BIC,ZERO,0.0107232234284323,False
1min,native,TRAIN_MEAN,ZERO,0.0001221282131312,False
5min,common_60min,ARMA_BIC,AR_BIC,0.0021495555117435,False
5min,common_60min,ARMA_BIC,AR_MA_50_50,0.0021737595416444,False
5min,common_60min,ARMA_BIC,MA_BIC,0.0021979635715453,False
5min,common_60min,ARMA_BIC,TRAIN_MEAN,1.734723475976807e-18,True
5min,common_60min,ARMA_BIC,ZERO,0.0073276927878756,False
5min,common_60min,AR_BIC,AR_MA_50_50,2.4204029900909765e-05,False
5min,common_60min,AR_BIC,MA_BIC,4.840805980182127e-05,False
5min,common_60min,AR_BIC,TRAIN_MEAN,0.0021495555117435,False
5min,common_60min,AR_BIC,ZERO,0.0083412952363656,False
5min,common_60min,AR_MA_50_50,MA_BIC,2.42040299009115e-05,False
5min,common_60min,AR_MA_50_50,TRAIN_MEAN,0.0021737595416444,False
5min,common_60min,AR_MA_50_50,ZERO,0.0083524224388053,False
5min,common_60min,MA_BIC,TRAIN_MEAN,0.0021979635715453,False
5min,common_60min,MA_BIC,ZERO,0.008363549641245,False
5min,common_60min,TRAIN_MEAN,ZERO,0.0073276927878756,False
5min,native,ARMA_BIC,AR_BIC,0.0051545103715275,False
5min,native,ARMA_BIC,AR_MA_50_50,0.005218160430591,False
5min,native,ARMA_BIC,MA_BIC,0.0052818104896545,False
5min,native,ARMA_BIC,TRAIN_MEAN,2.1684043449710093e-19,True
5min,native,ARMA_BIC,ZERO,0.0006106410656563,False
5min,native,AR_BIC,AR_MA_50_50,6.365005906349731e-05,False
5min,native,AR_BIC,MA_BIC,0.0001273001181269,False
5min,native,AR_BIC,TRAIN_MEAN,0.0051545103715275,False
5min,native,AR_BIC,ZERO,0.0045438693058712,False
5min,native,AR_MA_50_50,MA_BIC,6.365005906349818e-05,False
5min,native,AR_MA_50_50,TRAIN_MEAN,0.005218160430591,False
5min,native,AR_MA_50_50,ZERO,0.0046075193649347,False
5min,native,MA_BIC,TRAIN_MEAN,0.0052818104896545,False
5min,native,MA_BIC,ZERO,0.0046711694239982,False
5min,native,TRAIN_MEAN,ZERO,0.0006106410656563,False
15min,common_60min,ARMA_BIC,AR_BIC,0.0058153686700821,False
15min,common_60min,ARMA_BIC,AR_MA_50_50,0.0057583436627583,False
15min,common_60min,ARMA_BIC,MA_BIC,0.0057013186554345,False
15min,common_60min,ARMA_BIC,TRAIN_MEAN,0.0,True
15min,common_60min,ARMA_BIC,ZERO,0.0073276927878759,False
15min,common_60min,AR_BIC,AR_MA_50_50,7.043458496127156e-05,False
15min,common_60min,AR_BIC,MA_BIC,0.0001408691699225,False
15min,common_60min,AR_BIC,TRAIN_MEAN,0.0058153686700821,False
15min,common_60min,AR_BIC,ZERO,0.0115571154949378,False
15min,common_60min,AR_MA_50_50,MA_BIC,7.043458496127242e-05,False
15min,common_60min,AR_MA_50_50,TRAIN_MEAN,0.0057583436627583,False
15min,common_60min,AR_MA_50_50,ZERO,0.0115151001534933,False
15min,common_60min,MA_BIC,TRAIN_MEAN,0.0057013186554345,False
15min,common_60min,MA_BIC,ZERO,0.0114730848120487,False
15min,common_60min,TRAIN_MEAN,ZERO,0.0073276927878759,False
15min,native,ARMA_BIC,AR_BIC,0.0131262261791441,False
15min,native,ARMA_BIC,AR_MA_50_50,0.0130360046288192,False
15min,native,ARMA_BIC,MA_BIC,0.0129457830784943,False
15min,native,ARMA_BIC,TRAIN_MEAN,0.0,True
15min,native,ARMA_BIC,ZERO,0.0018319231969689,False
15min,native,AR_BIC,AR_MA_50_50,9.022155032492248e-05,False
15min,native,AR_BIC,MA_BIC,0.0001804431006498,False
15min,native,AR_BIC,TRAIN_MEAN,0.0131262261791441,False
15min,native,AR_BIC,ZERO,0.0112943029821752,False
15min,native,AR_MA_50_50,MA_BIC,9.022155032492248e-05,False
15min,native,AR_MA_50_50,TRAIN_MEAN,0.0130360046288192,False
15min,native,AR_MA_50_50,ZERO,0.0112040814318502,False
15min,native,MA_BIC,TRAIN_MEAN,0.0129457830784943,False
15min,native,MA_BIC,ZERO,0.0111138598815253,False
15min,native,TRAIN_MEAN,ZERO,0.0018319231969689,False
30min,common_60min,ARMA_BIC,AR_BIC,0.009391937008503,False
30min,common_60min,ARMA_BIC,AR_MA_50_50,0.0095726358714907,False
30min,common_60min,ARMA_BIC,MA_BIC,0.0097533347344784,False
30min,common_60min,ARMA_BIC,TRAIN_MEAN,8.673617379884035e-19,True
30min,common_60min,ARMA_BIC,ZERO,0.0073276927878759,False
30min,common_60min,AR_BIC,AR_MA_50_50,0.0001806988629877,False
30min,common_60min,AR_BIC,MA_BIC,0.0003613977259754,False
30min,common_60min,AR_BIC,TRAIN_MEAN,0.009391937008503,False
30min,common_60min,AR_BIC,ZERO,0.0124926567528154,False
30min,common_60min,AR_MA_50_50,MA_BIC,0.0001806988629877,False
30min,common_60min,AR_MA_50_50,TRAIN_MEAN,0.0095726358714907,False
30min,common_60min,AR_MA_50_50,ZERO,0.0125884085335254,False
30min,common_60min,MA_BIC,TRAIN_MEAN,0.0097533347344784,False
30min,common_60min,MA_BIC,ZERO,0.0126841603142354,False
30min,common_60min,TRAIN_MEAN,ZERO,0.0073276927878759,False
30min,native,ARMA_BIC,AR_BIC,0.0098816091989496,False
30min,native,ARMA_BIC,AR_MA_50_50,0.0101239483196342,False
30min,native,ARMA_BIC,MA_BIC,0.0103662874403188,False
30min,native,ARMA_BIC,TRAIN_MEAN,4.336808689942019e-19,True
30min,native,ARMA_BIC,ZERO,0.0036638463939379,False
30min,native,AR_BIC,AR_MA_50_50,0.0002423391206846,False
30min,native,AR_BIC,MA_BIC,0.0004846782413692,False
30min,native,AR_BIC,TRAIN_MEAN,0.0098816091989496,False
30min,native,AR_BIC,ZERO,0.0135454555928876,False
30min,native,AR_MA_50_50,MA_BIC,0.0002423391206846,False
30min,native,AR_MA_50_50,TRAIN_MEAN,0.0101239483196342,False
30min,native,AR_MA_50_50,ZERO,0.0137877947135722,False
30min,native,MA_BIC,TRAIN_MEAN,0.0103662874403188,False
30min,native,MA_BIC,ZERO,0.0140301338342568,False
30min,native,TRAIN_MEAN,ZERO,0.0036638463939379,False
60min,common_60min,ARMA_BIC,AR_BIC,0.0683934461166706,False
60min,common_60min,ARMA_BIC,AR_MA_50_50,0.0661335745025885,False
60min,common_60min,ARMA_BIC,MA_BIC,0.0638737028885063,False
60min,common_60min,ARMA_BIC,TRAIN_MEAN,1.734723475976807e-18,True
60min,common_60min,ARMA_BIC,ZERO,0.0073276927878759,False
60min,common_60min,AR_BIC,AR_MA_50_50,0.0025664858532912,False
60min,common_60min,AR_BIC,MA_BIC,0.0051329717065825,False
60min,common_60min,AR_BIC,TRAIN_MEAN,0.0683934461166706,False
60min,common_60min,AR_BIC,ZERO,0.0757211389045466,False
60min,common_60min,AR_MA_50_50,MA_BIC,0.0025664858532912,False
60min,common_60min,AR_MA_50_50,TRAIN_MEAN,0.0661335745025885,False
60min,common_60min,AR_MA_50_50,ZERO,0.0734612672904645,False
60min,common_60min,MA_BIC,TRAIN_MEAN,0.0638737028885063,False
60min,common_60min,MA_BIC,ZERO,0.0712013956763823,False
60min,common_60min,TRAIN_MEAN,ZERO,0.0073276927878759,False
60min,native,ARMA_BIC,AR_BIC,0.0683934461166706,False
60min,native,ARMA_BIC,AR_MA_50_50,0.0661335745025885,False
60min,native,ARMA_BIC,MA_BIC,0.0638737028885063,False
60min,native,ARMA_BIC,TRAIN_MEAN,1.734723475976807e-18,True
60min,native,ARMA_BIC,ZERO,0.0073276927878759,False
60min,native,AR_BIC,AR_MA_50_50,0.0025664858532912,False
60min,native,AR_BIC,MA_BIC,0.0051329717065825,False
60min,native,AR_BIC,TRAIN_MEAN,0.0683934461166706,False
60min,native,AR_BIC,ZERO,0.0757211389045466,False
60min,native,AR_MA_50_50,MA_BIC,0.0025664858532912,False
60min,native,AR_MA_50_50,TRAIN_MEAN,0.0661335745025885,False
60min,native,AR_MA_50_50,ZERO,0.0734612672904645,False
60min,native,MA_BIC,TRAIN_MEAN,0.0638737028885063,False
60min,native,MA_BIC,ZERO,0.0712013956763823,False
60min,native,TRAIN_MEAN,ZERO,0.0073276927878759,False
1d,native,ARMA_BIC,AR_BIC,0.1218311589207222,False
1d,native,ARMA_BIC,AR_MA_50_50,0.1215000132538843,False
1d,native,ARMA_BIC,MA_BIC,0.1211688675870464,False
1d,native,ARMA_BIC,TRAIN_MEAN,1.3877787807814457e-17,True
1d,native,ARMA_BIC,ZERO,0.0654831548846579,False
1d,native,AR_BIC,AR_MA_50_50,0.0026287206012264,False
1d,native,AR_BIC,MA_BIC,0.0052574412024528,False
1d,native,AR_BIC,TRAIN_MEAN,0.1218311589207221,False
1d,native,AR_BIC,ZERO,0.1873143138053802,False
1d,native,AR_MA_50_50,MA_BIC,0.0026287206012264,False
1d,native,AR_MA_50_50,TRAIN_MEAN,0.1215000132538842,False
1d,native,AR_MA_50_50,ZERO,0.1869831681385423,False
1d,native,MA_BIC,TRAIN_MEAN,0.1211688675870464,False
1d,native,MA_BIC,ZERO,0.1866520224717044,False
1d,native,TRAIN_MEAN,ZERO,0.065483154884658,False
