scale,pair_type,n_pairs,pair_correlation,method
1min,all_pairs,132839,-0.0081181945434325,descriptive_Pearson_no_p_value
1min,within_session,132594,-0.0081541207191976,descriptive_Pearson_no_p_value
1min,across_sessions,245,0.0024104472826918,descriptive_Pearson_no_p_value
5min,all_pairs,26567,0.0024169662526483,descriptive_Pearson_no_p_value
5min,within_session,26322,0.0024396615186024,descriptive_Pearson_no_p_value
5min,across_sessions,245,-0.0090328400906245,descriptive_Pearson_no_p_value
15min,all_pairs,8855,0.0074480151672155,descriptive_Pearson_no_p_value
15min,within_session,8610,0.0070619874401319,descriptive_Pearson_no_p_value
15min,across_sessions,245,0.0290285355170657,descriptive_Pearson_no_p_value
30min,all_pairs,4427,0.0064213510203998,descriptive_Pearson_no_p_value
30min,within_session,4182,0.0095328726568969,descriptive_Pearson_no_p_value
30min,across_sessions,245,-0.0509800127670367,descriptive_Pearson_no_p_value
60min,all_pairs,2213,-0.0408441168769204,descriptive_Pearson_no_p_value
60min,within_session,1968,-0.0453435943041092,descriptive_Pearson_no_p_value
60min,across_sessions,245,-0.0038581972303836,descriptive_Pearson_no_p_value
1d,all_pairs,245,-0.0445703032590732,descriptive_Pearson_no_p_value
1d,within_session,0,,descriptive_Pearson_no_p_value
1d,across_sessions,245,-0.0445703032590732,descriptive_Pearson_no_p_value
