scale,p,q,nobs,h,df,principal_horizon,lb_stat,lb_pvalue,lb_df_software,lb_pvalue_software,lb_squared_stat,lb_squared_pvalue,arch_lags,arch_lm,arch_lm_pvalue,arch_f,arch_f_pvalue,jb_stat,jb_pvalue,residual_type,main_df_rule,calibration,model
1min,2,2,132840,10,5,False,24.83481268447896,0.0001499475210494,6,0.0003663547340906,15840.629178343535,0.0,12,11601.364887354988,0.0,1059.2323758143068,0.0,2271152.820375765,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
1min,2,2,132840,12,7,False,30.4931377101362,7.708363639612123e-05,8,0.0001728786892004,16457.80133303001,0.0,12,11601.364887354988,0.0,1059.2323758143068,0.0,2271152.820375765,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
1min,2,2,132840,20,15,False,42.03948078436026,0.000221630212892,16,0.0003892839659934,17744.101635762778,0.0,12,11601.364887354988,0.0,1059.2323758143068,0.0,2271152.820375765,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
1min,2,2,132840,24,19,False,51.69221259130154,7.355580314430113e-05,20,0.000126234385736,18310.230975701183,0.0,12,11601.364887354988,0.0,1059.2323758143068,0.0,2271152.820375765,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
1min,2,2,132840,60,55,True,100.65864944263843,0.0001693278670541,56,0.0002345223638551,21088.452735661987,0.0,12,11601.364887354988,0.0,1059.2323758143068,0.0,2271152.820375765,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
1min,1,0,132840,10,8,False,37.457137615703125,9.481308107441208e-06,9,2.180630576461243e-05,15951.118682280996,0.0,12,11670.02233274851,0.0,1066.078381649099,0.0,2281053.3442547624,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
1min,1,0,132840,12,10,False,43.13273896487405,4.708482126169317e-06,11,1.0298065756343186e-05,16557.203129272035,0.0,12,11670.02233274851,0.0,1066.078381649099,0.0,2281053.3442547624,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
1min,1,0,132840,20,18,False,65.70820094040599,2.3710902242408137e-07,19,4.682275352250769e-07,17851.067411902233,0.0,12,11670.02233274851,0.0,1066.078381649099,0.0,2281053.3442547624,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
1min,1,0,132840,24,22,False,82.43333034154882,6.417635870583303e-09,23,1.2759273654519108e-08,18430.850617087952,0.0,12,11670.02233274851,0.0,1066.078381649099,0.0,2281053.3442547624,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
1min,1,0,132840,60,58,True,133.63052892143884,6.658253088496398e-08,59,1.0275173005796497e-07,21206.972082409746,0.0,12,11670.02233274851,0.0,1066.078381649099,0.0,2281053.3442547624,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
1min,0,1,132840,10,8,False,37.41092995762619,9.669046105562344e-06,9,2.222527010117253e-05,15952.757225500036,0.0,12,11671.17115504118,0.0,1066.193438465956,0.0,2281321.0242115627,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
1min,0,1,132840,12,10,False,43.0858325437604,4.800336204384433e-06,11,1.0493600057195075e-05,16558.749931368286,0.0,12,11671.17115504118,0.0,1066.193438465956,0.0,2281321.0242115627,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
1min,0,1,132840,20,18,False,65.66346716098666,2.4120281973614424e-07,19,4.761571941779711e-07,17852.529609673355,0.0,12,11671.17115504118,0.0,1066.193438465956,0.0,2281321.0242115627,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
1min,0,1,132840,24,22,False,82.38911157154644,6.527034762749944e-09,23,1.2973428577985421e-08,18432.283556949587,0.0,12,11671.17115504118,0.0,1066.193438465956,0.0,2281321.0242115627,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
1min,0,1,132840,60,58,True,133.58941343262643,6.73962022970313e-08,59,1.0399202877726117e-07,21208.142901900967,0.0,12,11671.17115504118,0.0,1066.193438465956,0.0,2281321.0242115627,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
5min,0,0,26568,10,9,False,17.67991723384295,0.0390739868633043,10,0.0606090625101177,959.549689175034,9.638277964981849e-200,12,803.4956016875742,2.9454966037080584e-164,69.0133000455899,7.263249997558136e-167,525920.2652150383,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
