scale,lag,acf,pacf,n,valid_pairs,white_noise_pointwise_band,pacf_method,sequence,model
1min,1,-0.0026622532677618,-0.0026622532677618,132840,132839,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,2,-0.000517495850007,-0.0005245871605287,132840,132838,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,3,0.0011527172320877,0.0011499506872977,132840,132837,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,4,-0.0005508134436071,-0.0005449568635155,132840,132836,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,5,-0.0094067912926114,-0.0094085972706598,132840,132835,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,6,0.0053420612066274,0.005290541242896,132840,132834,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,7,-0.0051904782974081,-0.0051714178289288,132840,132833,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,8,-0.0003491741198435,-0.0003495403936809,132840,132832,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,9,0.0013705488263537,0.0013407763482342,132840,132831,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,10,-0.0056557093542169,-0.0057205904579299,132840,132830,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,11,0.0016247010676863,0.0016919340994583,132840,132829,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,12,0.006320673748109,0.006195130307462,132840,132828,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,13,-0.0025511356666162,-0.0024549961899452,132840,132827,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,14,-0.0004667334430639,-0.0004805002512488,132840,132826,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,15,0.004610281026831,0.0044691921343321,132840,132825,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,16,-0.0066297202244862,-0.0064911338800882,132840,132824,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,17,-0.0020559840256095,-0.0020444791931699,132840,132823,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,18,0.0016002785994202,0.0014715326702672,132840,132822,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,19,-0.0009511107355248,-0.0008288846133186,132840,132821,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,20,-0.0026982973301814,-0.0026720119872558,132840,132820,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
