scale,lag,acf,pacf,n,valid_pairs,white_noise_pointwise_band,pacf_method,sequence
1min,1,-0.0081179975017113,-0.0081179975017113,132840,132839,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,2,-0.0026265747566406,-0.0026926540910545,132840,132838,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,3,0.0030531303520434,0.0030101116464165,132840,132837,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,4,0.0043097058982474,0.0043523189848595,132840,132836,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,5,-0.0038242409979416,-0.0037380750786553,132840,132835,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,6,0.0094276379373582,0.0093807701150466,132840,132834,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,7,-0.0043436604045668,-0.0042381849335888,132840,132833,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,8,-0.0028040277464987,-0.0028200270278178,132840,132832,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,9,-0.0031859973196082,-0.003279494476601,132840,132831,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,10,-0.0103548690989907,-0.0104938371372161,132840,132830,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,11,-0.0011887028012746,-0.0012502787616838,132840,132829,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,12,0.0064284511420401,0.0062790770871851,132840,132828,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,13,0.0001792908757493,0.0004272897473329,132840,132827,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,14,0.0036571906482066,0.003806541301485,132840,132826,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,15,0.0083550185447377,0.0083518329892418,132840,132825,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,16,-0.0048847136983095,-0.0046387121530899,132840,132824,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,17,-0.0028246612928206,-0.0029227057689921,132840,132823,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,18,-0.0012161367686006,-0.0015699509588368,132840,132822,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,19,-0.0045562933629372,-0.0046420143458398,132840,132821,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,20,-0.0055464805897498,-0.0056579843643982,132840,132820,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,21,-0.0058323377990347,-0.0060572204102953,132840,132819,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,22,-0.0039679254342739,-0.0037625078873566,132840,132818,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,23,0.0072017454541814,0.0072850172302099,132840,132817,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,24,0.0047393357125622,0.004962887218855,132840,132816,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,25,0.0037723452678082,0.0041345124184824,132840,132815,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,26,0.0006408035793347,0.0005932757440728,132840,132814,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,27,-0.0031945793868951,-0.0034404984317651,132840,132813,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,28,-0.0026962488618374,-0.0028038931169447,132840,132812,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,29,0.0017412059356863,0.0013091406098429,132840,132811,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,30,-0.0025000748286098,-0.0026855567741594,132840,132810,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,31,0.0001799386257743,0.0002007270285605,132840,132809,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,32,-0.0071869298738783,-0.007095537506259,132840,132808,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,33,0.0071422216352481,0.0073898886135471,132840,132807,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,34,0.0026645237031092,0.0031095212295972,132840,132806,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,35,0.0022104057086176,0.0023504931526254,132840,132805,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,36,-0.0008570623273457,-0.0007560367445908,132840,132804,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,37,0.0023724258552705,0.0019883194112148,132840,132803,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,38,-0.0003333872297778,-0.000505096190251,132840,132802,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,39,0.0007284694293852,0.0004550929833279,132840,132801,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,40,0.00233686748908,0.0022266366355205,132840,132800,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,41,0.000878750999391,0.0008482365219206,132840,132799,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,42,-0.0005496110458791,-0.0004170232559712,132840,132798,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,43,0.0003670316193659,0.0005602086688917,132840,132797,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,44,0.0001893722561691,0.000495514532977,132840,132796,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,45,0.0063339583285246,0.0065186326675288,132840,132795,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,46,-0.0012594096532583,-0.001187532751435,132840,132794,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,47,-0.0004988379732207,-0.0005205985150072,132840,132793,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,48,-0.0023324449189183,-0.0027018498857242,132840,132792,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,49,-0.0050767813718439,-0.0053341136261271,132840,132791,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,50,-0.0010360060835627,-0.0010109514402202,132840,132790,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,51,-0.0034405764216018,-0.0035395715201454,132840,132789,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,52,0.002159996404831,0.002175457177032,132840,132788,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,53,-0.0003731878189457,-0.0001850694565012,132840,132787,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,54,-0.0069741746162135,-0.0068154530163862,132840,132786,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,55,-0.0063636594172924,-0.0060994434332987,132840,132785,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,56,-0.0034432079203765,-0.0036405233997259,132840,132784,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,57,-0.0003856388420276,-0.0005138309080305,132840,132783,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,58,0.0024433401029283,0.0022533375390372,132840,132782,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,59,-0.0031540123093236,-0.0032981023137952,132840,132781,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
1min,60,0.0024237559188208,0.0023885211489704,132840,132780,0.0053776389150922,Yule_Walker_MLE,annual_trading_time
5min,1,0.0024168222232547,0.0024168222232547,26568,26567,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,2,-0.0120035256824971,-0.0120094368596328,26568,26566,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,3,0.009973113758314,0.0100330028384887,26568,26565,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,4,-0.0119400088427651,-0.0121373443320849,26568,26564,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,5,-0.0023984898033411,-0.0020956157699716,26568,26563,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,6,0.0002344468212602,-0.0001450780161767,26568,26562,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,7,0.0081822727691122,0.0083719378334641,26568,26561,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,8,-0.0049760078640016,-0.0051212893619361,26568,26560,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,9,0.0087856117326462,0.0089632274222769,26568,26559,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,10,-0.0099306771405146,-0.0102780130107201,26568,26558,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
