p,q,nobs,parameters,sequence,trend,llf,aic,bic,mu_pct,sigma2_pct,sigma_pct,ar,ma,params_json,converged,min_ar_root,min_ma_root,method,attempts,numerical_attempts,status,model,delta_bic,scale
2,2,132840,6,annual_trading_time,c,268330.9235513156,-536649.8471026311,-536591.0656985781,-0.0001221253559589,0.0010304201988435,0.0321001588600985,"[1.5253183225450053, -0.9384256936919236]","[-1.531026262223207, 0.9449582170375875]","[-0.0001221253559589659, 1.5253183225450053, -0.9384256936919236, -1.531026262223207, 0.9449582170375875, 0.0010304201988435618]",True,1.0322860417050257,1.0287117421277991,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 1.3145361623130709e-07, ""warning"": """"}]",eligible,ARMA_BIC,0.0,1min
1,0,132840,3,annual_trading_time,c,268311.08731721534,-536616.1746344307,-536586.7839324042,-0.0001221220134365,0.0010307279806793,0.0321049525880251,[-0.008118305315019331],[],"[-0.00012212201343652816, -0.008118305315019331, 0.0010307279806793404]",True,123.1784173169667,inf,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 2.1908935905530373e-08, ""warning"": """"}]",eligible,AR_BIC,4.281766173895448,1min
0,1,132840,3,annual_trading_time,c,268311.11050708755,-536616.2210141751,-536586.8303121487,-0.0001221219317556,0.0010307276063991,0.032104946759014,[],[-0.00816113703273181],"[-0.0001221219317556912, -0.00816113703273181, 0.001030727606399128]",True,inf,122.53194573125138,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 0.0, ""warning"": """"}]",eligible,MA_BIC,4.235386429470964,1min
0,0,26568,2,annual_trading_time,c,32438.815976148973,-64873.63195229795,-64857.25702677183,-0.0006106410656563,0.0050933298577037,0.071367568668855,[],[],"[-0.0006106410656563004, 0.00509332985770374]",True,inf,inf,closed_form_gaussian_ml,1,"[{""method"": ""closed_form_gaussian_ml"", ""converged"": true, ""message"": ""mu=sample_mean; sigma2=sample_variance_ddof0"", ""iterations"": 0}]",eligible,ARMA_BIC,0.0,5min
1,0,26568,3,annual_trading_time,c,32438.89357504397,-64871.78715008794,-64847.22476179877,-0.0006106562729607,0.0050933001133247,0.0713673602799258,[0.0024170316148685485],[],"[-0.0006106562729607555, 0.0024170316148685485, 0.005093300113324739]",True,413.73062472514886,inf,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 2.7386169744141412e-08, ""warning"": """"}]",eligible,AR_BIC,10.032264973058773,5min
0,1,26568,3,annual_trading_time,c,32438.895488480757,-64871.79097696151,-64847.22858867234,-0.0006106566036937,0.005093299343736,0.0713673548881844,[],[0.0024766804863631596],"[-0.0006106566036937628, 0.0024766804863631596, 0.005093299343736057]",True,inf,403.7662530577101,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 0.0, ""warning"": """"}]",eligible,MA_BIC,10.028438099492632,5min
0,0,8856,2,annual_trading_time,c,6090.573179495677,-12177.146358991356,-12162.968658042577,-0.0018319231969689,0.014796786293419,0.1216420416361836,[],[],"[-0.001831923196968992, 0.014796786293419038]",True,inf,inf,closed_form_gaussian_ml,1,"[{""method"": ""closed_form_gaussian_ml"", ""converged"": true, ""message"": ""mu=sample_mean; sigma2=sample_variance_ddof0"", ""iterations"": 0}]",eligible,ARMA_BIC,0.0,15min
1,0,8856,3,annual_trading_time,c,6090.818793385228,-12175.637586770456,-12154.37103534729,-0.0018321096997944,0.014795964931303,0.1216386654452565,[0.007447918231362609],[],"[-0.0018321096997944498, 0.007447918231362609, 0.014795964931303054]",True,134.26570605851674,inf,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 2.0539627308106058e-08, ""warning"": """"}]",eligible,AR_BIC,8.59762269528619,15min
0,1,8856,3,annual_trading_time,c,6090.816001887612,-12175.632003775225,-12154.365452352058,-0.0018321076375079,0.0147959748603908,0.1216387062591134,[],[0.007362631505115569],"[-0.0018321076375079942, 0.007362631505115569, 0.014795974860390873]",True,inf,135.82100357802756,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 2.0539627411434724e-08, ""warning"": """"}]",eligible,MA_BIC,8.603205690518735,15min
0,0,4428,2,annual_trading_time,c,1534.1381138534252,-3064.2762277068505,-3051.4848211191934,-0.0036638463939379,0.0292813921837663,0.1711180650421408,[],[],"[-0.0036638463939379843, 0.029281392183766332]",True,inf,inf,closed_form_gaussian_ml,1,"[{""method"": ""closed_form_gaussian_ml"", ""converged"": true, ""message"": ""mu=sample_mean; sigma2=sample_variance_ddof0"", ""iterations"": 0}]",eligible,ARMA_BIC,0.0,30min
