scale,lag,acf,pacf,n,valid_pairs,white_noise_pointwise_band,pacf_method,sequence,model
1min,1,0.2780128881828286,0.2780128881828286,132840,132839,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,2,0.1483335625837421,0.0769932983947756,132840,132838,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,3,0.0652272150759742,0.0062781264909431,132840,132837,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,4,0.0545629388275035,0.0271799577566286,132840,132836,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,5,0.0532312775004504,0.0294889150993421,132840,132835,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,6,0.0412891749661427,0.0139560285262166,132840,132834,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,7,0.0476763304198021,0.0267397368130954,132840,132833,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,8,0.0422530492120915,0.0177462080858309,132840,132832,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,9,0.0433517987424554,0.0201529912051256,132840,132831,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,10,0.0473340891612178,0.0244356910583587,132840,132830,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,11,0.0429807499461122,0.0167290046528381,132840,132829,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,12,0.0528976436181837,0.0291744679528702,132840,132828,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,13,0.0415310744829945,0.0117278933823903,132840,132827,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,14,0.0337358432198475,0.0077371356587947,132840,132826,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,15,0.0304655155884561,0.00966314913011,132840,132825,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,16,0.0324410990354521,0.01322780188539,132840,132824,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,17,0.0342784050411988,0.0135302533254732,132840,132823,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,18,0.0290895885751836,0.0070698770436699,132840,132822,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,19,0.0320998011944365,0.0128306147442808,132840,132821,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,20,0.0422683305089997,0.0228627901223337,132840,132820,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,21,0.0352018151713692,0.0088300829944778,132840,132819,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,22,0.0341011740362033,0.0107073238286514,132840,132818,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,23,0.0318172973392607,0.0101133759793011,132840,132817,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,24,0.0290956907389187,0.0073351615096711,132840,132816,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,25,0.0423416590525554,0.0236257257326087,132840,132815,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,26,0.0292919583909478,0.0024043454260079,132840,132814,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,27,0.0342190008392219,0.0133378534791562,132840,132813,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,28,0.0297795471639127,0.0077002738580961,132840,132812,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,29,0.033520261683863,0.01249813766752,132840,132811,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
