scale,specification,test,trend,n,sequence,null,adf_max_lags,lag_rule,status,statistic,pvalue,critical_1,critical_5,critical_10,lags,nobs,reject_5pct,conclusion,warning
1min,main,ADF,c,132840,annual_trading_time,unit_root,12.0,BIC_0_to_cap12,ok,-367.4462750894282,0.0,-3.4303992282113533,-2.861561758157434,-2.5667815810955057,0,132839,True,reject_H0,
1min,main,PP,c,132840,annual_trading_time,unit_root,,Schwert_automatic_Bartlett,ok,-367.5053530322135,0.0,-3.4303992282113533,-2.861561758157434,-2.5667815810955057,73,132839,True,reject_H0,
1min,main,KPSS,c,132840,annual_trading_time,level_stationarity,,automatic_data_dependent_Bartlett,ok,0.1891709995299248,0.2900617031278195,0.7428,0.4614,0.3475,15,132840,False,do_not_reject_H0,"Lag selection has changed to use a data-dependent method. To use the old method that only depends on time, set lags=-1"
1min,trend_sensitivity,ADF,ct,132840,annual_trading_time,unit_root,12.0,BIC_0_to_cap12,ok,-367.4455306278815,0.0,-3.9588381525305896,-3.410523051046942,-3.127069464385823,0,132839,True,reject_H0,
1min,trend_sensitivity,PP,ct,132840,annual_trading_time,unit_root,,Schwert_automatic_Bartlett,ok,-367.5050362245258,0.0,-3.9588381525305896,-3.410523051046942,-3.127069464385823,73,132839,True,reject_H0,
1min,trend_sensitivity,KPSS,ct,132840,annual_trading_time,trend_stationarity,,automatic_data_dependent_Bartlett,ok,0.17575338296609,0.0260555237396858,0.2175,0.1479,0.1193,15,132840,True,reject_H0,"Lag selection has changed to use a data-dependent method. To use the old method that only depends on time, set lags=-1"
5min,main,ADF,c,26568,annual_trading_time,unit_root,12.0,BIC_0_to_cap12,ok,-162.60123059121304,0.0,-3.4305961674991163,-2.861648798864282,-2.5668279104051144,0,26567,True,reject_H0,
5min,main,PP,c,26568,annual_trading_time,unit_root,,Schwert_automatic_Bartlett,ok,-162.6323784317592,0.0,-3.4305961674991163,-2.861648798864282,-2.5668279104051144,49,26567,True,reject_H0,
5min,main,KPSS,c,26568,annual_trading_time,level_stationarity,,automatic_data_dependent_Bartlett,ok,0.1909021529007174,0.2863783980835799,0.7428,0.4614,0.3475,7,26568,False,do_not_reject_H0,"Lag selection has changed to use a data-dependent method. To use the old method that only depends on time, set lags=-1"
5min,trend_sensitivity,ADF,ct,26568,annual_trading_time,unit_root,12.0,BIC_0_to_cap12,ok,-162.59962079269238,0.0,-3.9591108051432,-3.4106552704552824,-3.127147329309722,0,26567,True,reject_H0,
5min,trend_sensitivity,PP,ct,26568,annual_trading_time,unit_root,,Schwert_automatic_Bartlett,ok,-162.63139855647265,0.0,-3.9591108051432,-3.4106552704552824,-3.127147329309722,49,26567,True,reject_H0,
5min,trend_sensitivity,KPSS,ct,26568,annual_trading_time,trend_stationarity,,automatic_data_dependent_Bartlett,ok,0.1774130692413863,0.0249932632776358,0.2175,0.1479,0.1193,6,26568,True,reject_H0,"Lag selection has changed to use a data-dependent method. To use the old method that only depends on time, set lags=-1"
15min,main,ADF,c,8856,annual_trading_time,unit_root,12.0,BIC_0_to_cap12,ok,-93.38973589400877,0.0,-3.431088700922101,-2.861866457217231,-2.566943768178646,0,8855,True,reject_H0,
15min,main,PP,c,8856,annual_trading_time,unit_root,,Schwert_automatic_Bartlett,ok,-93.3873919852289,0.0,-3.431088700922101,-2.861866457217231,-2.566943768178646,37,8855,True,reject_H0,
15min,main,KPSS,c,8856,annual_trading_time,level_stationarity,,automatic_data_dependent_Bartlett,ok,0.1975432639497463,0.2728563451965757,0.7428,0.4614,0.3475,11,8856,False,do_not_reject_H0,"Lag selection has changed to use a data-dependent method. To use the old method that only depends on time, set lags=-1"
15min,trend_sensitivity,ADF,ct,8856,annual_trading_time,unit_root,12.0,BIC_0_to_cap12,ok,-93.3869905000345,0.0,-3.959792734285774,-3.4109859255809254,-3.1273420433131363,0,8855,True,reject_H0,
15min,trend_sensitivity,PP,ct,8856,annual_trading_time,unit_root,,Schwert_automatic_Bartlett,ok,-93.38451910684196,0.0,-3.959792734285774,-3.4109859255809254,-3.1273420433131363,37,8855,True,reject_H0,
15min,trend_sensitivity,KPSS,ct,8856,annual_trading_time,trend_stationarity,,automatic_data_dependent_Bartlett,ok,0.1835913738900866,0.0218085701597491,0.2175,0.1479,0.1193,11,8856,True,reject_H0,"Lag selection has changed to use a data-dependent method. To use the old method that only depends on time, set lags=-1"
30min,main,ADF,c,4428,annual_trading_time,unit_root,12.0,BIC_0_to_cap12,ok,-66.09573445328462,0.0,-3.431827997692704,-2.862193096554533,-2.5671176472815618,0,4427,True,reject_H0,
30min,main,PP,c,4428,annual_trading_time,unit_root,,Schwert_automatic_Bartlett,ok,-66.10410627572618,0.0,-3.431827997692704,-2.862193096554533,-2.5671176472815618,31,4427,True,reject_H0,
30min,main,KPSS,c,4428,annual_trading_time,level_stationarity,,automatic_data_dependent_Bartlett,ok,0.1968114621703165,0.2742912506464381,0.7428,0.4614,0.3475,6,4428,False,do_not_reject_H0,"Lag selection has changed to use a data-dependent method. To use the old method that only depends on time, set lags=-1"
30min,trend_sensitivity,ADF,ct,4428,annual_trading_time,unit_root,12.0,BIC_0_to_cap12,ok,-66.09144599948974,0.0,-3.960816426101114,-3.4114821941329474,-3.1276342529358163,0,4427,True,reject_H0,
30min,trend_sensitivity,PP,ct,4428,annual_trading_time,unit_root,,Schwert_automatic_Bartlett,ok,-66.09905078563894,0.0,-3.960816426101114,-3.4114821941329474,-3.1276342529358163,31,4427,True,reject_H0,
30min,trend_sensitivity,KPSS,ct,4428,annual_trading_time,trend_stationarity,,automatic_data_dependent_Bartlett,ok,0.1829423125972858,0.0221431378364505,0.2175,0.1479,0.1193,6,4428,True,reject_H0,"Lag selection has changed to use a data-dependent method. To use the old method that only depends on time, set lags=-1"
60min,main,ADF,c,2214,annual_trading_time,unit_root,12.0,BIC_0_to_cap12,ok,-48.98311548051026,0.0,-3.4333083829182174,-2.862846923369076,-2.567465738507758,0,2213,True,reject_H0,
60min,main,PP,c,2214,annual_trading_time,unit_root,,Schwert_automatic_Bartlett,ok,-48.9451147896557,0.0,-3.4333083829182174,-2.862846923369076,-2.567465738507758,27,2213,True,reject_H0,
60min,main,KPSS,c,2214,annual_trading_time,level_stationarity,,automatic_data_dependent_Bartlett,ok,0.1991374684054468,0.2697304541069669,0.7428,0.4614,0.3475,2,2214,False,do_not_reject_H0,"Lag selection has changed to use a data-dependent method. To use the old method that only depends on time, set lags=-1"
60min,trend_sensitivity,ADF,ct,2214,annual_trading_time,unit_root,12.0,BIC_0_to_cap12,ok,-48.976910400271294,0.0,-3.962866689247089,-3.412475762498882,-3.1282191722459487,0,2213,True,reject_H0,
60min,trend_sensitivity,PP,ct,2214,annual_trading_time,unit_root,,Schwert_automatic_Bartlett,ok,-48.93869277508598,0.0,-3.962866689247089,-3.412475762498882,-3.1282191722459487,27,2213,True,reject_H0,
60min,trend_sensitivity,KPSS,ct,2214,annual_trading_time,trend_stationarity,,automatic_data_dependent_Bartlett,ok,0.1850684403184166,0.0210471957121563,0.2175,0.1479,0.1193,2,2214,True,reject_H0,"Lag selection has changed to use a data-dependent method. To use the old method that only depends on time, set lags=-1"
1d,main,ADF,c,246,annual_trading_time,unit_root,12.0,BIC_0_to_cap12,ok,-16.310103288028923,3.202394700672227e-29,-3.457326071908813,-2.873410402808354,-2.573095980841316,0,245,True,reject_H0,
