scale,time_band,n,mean_pct,std_pct,skewness,excess_kurtosis,zero_share
1min,fim,14760,-5.145355064625924e-05,0.0219607304921233,0.1330907495234201,13.653434209989502,0.1072493224932249
1min,inicio,14760,-0.0003476987783604,0.0392170214772566,0.8812741101148123,34.836001002700705,0.0556233062330623
1min,meio,103320,-0.0001000002270249,0.0321981867994266,0.0601858759148993,14.066400692355051,0.0632984901277584
5min,fim,2952,-0.0002572677532312,0.0463758632038121,-0.2383494954853734,6.641493089375182,0.0464092140921409
5min,inicio,2952,-0.0017384938918023,0.0910664209077092,1.560938576029136,35.711835199543444,0.0210027100271002
5min,meio,20664,-0.0005000011351247,0.0711135142865448,0.4286127918873907,14.201672941252514,0.0280681378242353
15min,fim,984,-0.0007718032596938,0.0757542784435044,-0.6847312573330766,4.727508231928535,0.0304878048780487
15min,inicio,984,-0.0052154816754075,0.1558412889138797,0.8082693174130442,8.920475799823787,0.0040650406504065
15min,meio,6888,-0.0015000034053742,0.1214072296676334,0.4211982367731869,7.057864925255124,0.0155342624854819
30min,fim,492,-0.0015436065193871,0.1047659020432143,-0.1733561172712662,4.910711427031087,0.0386178861788617
30min,inicio,492,-0.0104309633508147,0.2156854386551614,0.3883236514346761,3.199077093418449,0.0040650406504065
30min,meio,3444,-0.0030000068107485,0.1716140917725482,0.1437191278454007,4.911571732917727,0.0098722415795586
60min,fim,246,-0.0030872130387743,0.1485634920641364,-0.0538227588219053,3.634898630541805,0.0121951219512195
60min,inicio,246,-0.0208619267016296,0.3054264853356724,0.2175671317357815,2.468610422194887,0.008130081300813
60min,meio,1722,-0.0060000136214971,0.2459485201145268,-0.020114096922472,6.237630510747332,0.008130081300813
1d,diario,246,-0.065483154884658,0.784950414733,-0.5270058836691145,1.194597429069014,0.0
