scale,model,series,test,lag,nobs,statistic,pvalue,reference_df,model_df,f_statistic,f_pvalue,reject_5pct,sample,reference_caveat
1min,fixed_arma_mean,innovations,ARCH-LM,10,132840,11464.67817149838,0.0,10,0,1254.664072997699,0.0,True,train_2024,asymptotic; innovations from a pre-estimated mean
1min,fixed_arma_mean,innovations,ARCH-LM,20,132840,11768.89174724344,0.0,20,0,645.5525594523381,0.0,True,train_2024,asymptotic; innovations from a pre-estimated mean
1min,fixed_arma_mean,innovations,ARCH-LM,60,132840,12068.7928758594,0.0,60,0,221.15567668376207,0.0,True,train_2024,asymptotic; innovations from a pre-estimated mean
1min,constant,standardized_residuals,Ljung-Box,10,132840,24.83480624854169,0.0056675766881344,10,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1min,constant,standardized_residuals,Ljung-Box,20,132840,42.03947519305676,0.0027330068974611,20,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1min,constant,standardized_residuals,Ljung-Box,60,132840,100.65864842555106,0.0007918851503013,60,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1min,constant,squared_standardized_residuals,Ljung-Box,10,132840,15840.62877658604,0.0,10,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1min,constant,squared_standardized_residuals,Ljung-Box,20,132840,17744.101109166553,0.0,20,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1min,constant,squared_standardized_residuals,Ljung-Box,60,132840,21088.45198593622,0.0,60,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1min,arch1,standardized_residuals,Ljung-Box,10,132840,26.58003596098664,0.0030336186944843,10,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1min,arch1,standardized_residuals,Ljung-Box,20,132840,47.83153602003976,0.0004491663442439,20,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1min,arch1,standardized_residuals,Ljung-Box,60,132840,89.20953538610685,0.0085420377603645,60,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1min,arch1,squared_standardized_residuals,Ljung-Box,10,132840,3716.604872222046,0.0,10,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
