scale,model,model_label,nobs,nobs_test,variance_parameter_count,distribution,mean_refitted,fit_method,input_rms_scaling,converged,eligible,selected_bic,status,warning,near_boundary,omega,alpha,beta,persistence,unconditional_variance,loglikelihood,aic,bic,convergence_flag,convergence_message,positive_stable_parameters,oos_variance_proxy_mse,oos_variance_proxy_mae,delta_bic
1min,constant,Constant variance,132840,119340,1,normal,False,variance_MLE_conditional_on_fixed_ARMA_mean,0.0321001586503581,True,True,False,eligible,,False,0.0010304201853781,0.0,0.0,0.0,0.0010304201853781,268330.9249218443,-536659.8498436885,-536650.052943013,0,closed_form,True,5.945094220277424e-05,0.0014521590615732,32354.654594658878
1min,arch1,ARCH(1),132840,119340,2,normal,False,variance_MLE_conditional_on_fixed_ARMA_mean,0.0321001586503581,True,True,False,eligible,,False,0.0007387527393529,0.2902239046635949,0.0,0.2902239046635949,0.0010408250492048,274376.2415617534,-548748.4831235068,-548728.8893221557,0,Optimization terminated successfully,True,5.579591299769719e-05,0.0014559875478235,20275.818215516163
1min,garch11,"GARCH(1,1)",132840,119340,3,normal,False,variance_MLE_conditional_on_fixed_ARMA_mean,0.0321001586503581,True,True,True,eligible,persistence >= 0.98; near the unit-persistence boundary,True,1.5884302370838534e-05,0.0841628642851424,0.9026481547506342,0.9868110190357766,0.0012043616117065,284520.0491198492,-569034.0982396983,-569004.7075376719,0,Optimization terminated successfully,True,5.677791929783279e-05,0.0014491946494735,0.0
5min,constant,Constant variance,26568,23868,1,normal,False,variance_MLE_conditional_on_fixed_ARMA_mean,0.071367568668855,True,True,False,eligible,,False,0.0050933298577037,0.0,0.0,0.0,0.0050933298577037,32438.815976148977,-64875.631952297954,-64867.4444895349,0,closed_form,True,0.0012514518151286,0.0071378262529169,3228.677998124316
5min,arch1,ARCH(1),26568,23868,2,normal,False,variance_MLE_conditional_on_fixed_ARMA_mean,0.071367568668855,True,True,False,eligible,,False,0.0038393500018138,0.2747497873138563,0.0,0.2747497873138563,0.0052938281639296,33241.54392587935,-66479.0878517587,-66462.71292623259,0,Optimization terminated successfully,True,0.0012954928803648,0.007207672013472,1633.4095614266262
5min,garch11,"GARCH(1,1)",26568,23868,3,normal,False,variance_MLE_conditional_on_fixed_ARMA_mean,0.071367568668855,True,True,True,eligible,,False,0.0005758935006082,0.1655420547725676,0.7337028953088356,0.8992449500814033,0.0057157780287297,34063.34243797419,-68120.68487594838,-68096.12248765922,0,Optimization terminated successfully,True,0.0012142385950851,0.0071313727829476,0.0
15min,constant,Constant variance,8856,7956,1,normal,False,variance_MLE_conditional_on_fixed_ARMA_mean,0.1216420416361836,True,True,False,eligible,,False,0.014796786293419,0.0,0.0,0.0,0.014796786293419,6090.573179495677,-12179.146358991356,-12172.057508516966,0,closed_form,True,0.0033747115241269,0.0205839878135289,538.7769954327323
15min,arch1,ARCH(1),8856,7956,2,normal,False,variance_MLE_conditional_on_fixed_ARMA_mean,0.1216420416361836,True,True,False,eligible,,False,0.011991017375264,0.1991459356069843,0.0,0.1991459356069843,0.0149727870637109,6283.696527792981,-12563.393055585962,-12549.215354637185,0,Optimization terminated successfully,True,0.0031064394418688,0.0203328011496581,161.6191493125134
15min,garch11,"GARCH(1,1)",8856,7956,3,normal,False,variance_MLE_conditional_on_fixed_ARMA_mean,0.1216420416361836,True,True,True,eligible,,False,0.0045655417343152,0.1579468304064784,0.5382019298084226,0.696148760214901,0.0150255820497696,6369.050527686431,-12732.101055372865,-12710.834503949698,0,Optimization terminated successfully,True,0.0030646823280749,0.0201782822549654,0.0
30min,constant,Constant variance,4428,3978,1,normal,False,variance_MLE_conditional_on_fixed_ARMA_mean,0.1711180650421408,True,True,False,eligible,,False,0.0292813921837663,0.0,0.0,0.0,0.0292813921837663,1534.1381138534246,-3066.276227706849,-3059.880524413021,0,closed_form,True,0.0094024184053834,0.0403007080154337,142.5868045737152
30min,arch1,ARCH(1),4428,3978,2,normal,False,variance_MLE_conditional_on_fixed_ARMA_mean,0.1711180650421408,True,True,False,eligible,,False,0.0249315184928563,0.1544634357160928,0.0,0.1544634357160928,0.0294860323562365,1596.9175735283588,-3189.8351470567177,-3177.0437404690606,0,Optimization terminated successfully,True,0.0092237127647267,0.0402308670755159,25.4235885176754
30min,garch11,"GARCH(1,1)",4428,3978,3,normal,False,variance_MLE_conditional_on_fixed_ARMA_mean,0.1711180650421408,True,True,True,eligible,,False,0.0161992486882991,0.1500010748448652,0.3003385663948341,0.4503396412396994,0.0294713788799227,1613.8272194341107,-3221.6544388682214,-3202.467328986736,0,Optimization terminated successfully,True,0.0091444843570197,0.0401941014747125,0.0
60min,constant,Constant variance,2214,1989,1,normal,False,variance_MLE_conditional_on_fixed_ARMA_mean,0.2445607948771368,True,True,False,eligible,,False,0.059809982390937,0.0,0.0,0.0,0.059809982390937,-23.572861022089143,49.145722044178285,54.84827815744687,0,closed_form,True,0.0343852461249043,0.0836897622844844,58.42421870285161
60min,arch1,ARCH(1),2214,1989,2,normal,False,variance_MLE_conditional_on_fixed_ARMA_mean,0.2445607948771368,True,True,True,eligible,,False,0.0512650198106557,0.1440858348049064,0.0,0.1440858348049064,0.059895047769154,9.490526385970952,-14.981052771941904,-3.5759405454047397,0,Optimization terminated successfully,True,0.0338250872436961,0.0836207570251285,0.0
60min,garch11,"GARCH(1,1)",2214,1989,3,normal,False,variance_MLE_conditional_on_fixed_ARMA_mean,0.2445607948771368,True,True,False,eligible,,False,0.0468064712268523,0.1385740063929049,0.0780468892036391,0.2166208955965441,0.0597494507624064,10.755293699819958,-15.510587399639917,1.5970809401658317,0,Optimization terminated successfully,True,0.0338399502684435,0.0835938694428728,5.173021485570571
1d,constant,Constant variance,246,221,1,normal,False,variance_MLE_conditional_on_fixed_ARMA_mean,0.7833533623873297,True,True,True,eligible,,False,0.613642490363535,0.0,0.0,0.0,0.613642490363535,-288.99271677722925,579.9854335544585,583.4907650903908,0,closed_form,True,1.5405717027329522,0.7433302505524607,0.0
1d,arch1,ARCH(1),246,221,2,normal,False,variance_MLE_conditional_on_fixed_ARMA_mean,0.7833533623873297,True,True,False,eligible,,False,0.5311784951901384,0.1429993569072677,0.0,0.1429993569072677,0.6198110812066939,-287.65611644004844,579.3122328800969,586.3228959519616,0,Optimization terminated successfully,True,1.6097738394253998,0.7806694477023401,2.8321308615708176
1d,garch11,"GARCH(1,1)",246,221,3,normal,False,variance_MLE_conditional_on_fixed_ARMA_mean,0.7833533623873297,True,True,False,eligible,,False,0.055179404204947,0.0691235076109925,0.843678811371207,0.9128023189821995,0.6328081614198292,-285.7357411387285,577.471482277457,587.9874768852541,0,Optimization terminated successfully,True,1.5522350596713572,0.7882744460531356,4.496711794863245
