lag,minutes,acf_absolute_returns,acf_squared_returns,n_pairs
0,0,1.0,1.0,27639
1,5,0.21756951152973739,0.15227282446775892,27390
2,10,0.17570704904590334,0.05808837036282244,27141
3,15,0.15749101782971436,0.04733027043843716,26892
4,20,0.14875498185089095,0.045709427644758965,26643
5,25,0.13828319448804205,0.02504978367791782,26394
6,30,0.13119277019363806,0.02178330947387323,26145
7,35,0.10983997923344241,0.015272088547904553,25896
8,40,0.10369923284191306,0.01708824470400442,25647
9,45,0.11852290745066353,0.027147965500827334,25398
10,50,0.10278188151345184,0.020207036407583135,25149
11,55,0.11017505745992845,0.02460289289483517,24900
12,60,0.09469439776410381,0.021047735169058633,24651
13,65,0.0872312242176019,0.02678271451855457,24402
14,70,0.07586944855382348,0.009834365741701045,24153
15,75,0.0743841834885322,0.0165111829144992,23904
16,80,0.07751616090464349,0.012163770578135148,23655
17,85,0.06013623648311766,0.006816896397573083,23406
18,90,0.06237768021767615,0.006838715794552046,23157
19,95,0.06177688764588307,0.011962954636419077,22908
20,100,0.050717996452216495,0.011748452027744055,22659
21,105,0.054100650781808445,0.010394171390807259,22410
22,110,0.05406092513419933,0.008758553420939121,22161
23,115,0.0376008722961178,0.0040635752849246245,21912
24,120,0.02953086226641073,0.0023692453444536426,21663
25,125,0.03670447484745959,0.0033660599695404503,21414
26,130,0.022160952126113336,-0.00018541867025162766,21165
27,135,0.0350606493752764,0.002449581980354482,20916
28,140,0.023536824466106252,0.0005931424208334063,20667
29,145,0.016068127951590575,-0.0004913437961966486,20418
30,150,0.01675457312302165,-0.0004523740620294406,20169
