lag,minutes,acf,pacf,acf_ci_95,pacf_ci_95,acf_n_pairs,pacf_nobs,acf_conventional,pacf_conventional,acf_significant,pacf_significant,scale,label,bar_minutes,separation_value,separation_unit
0,0.0,1.0,1.0,0.00537763891509221,0.00537763891509221,132840,132840,1.0,1.0,False,False,1min,1 minuto,1.0,0,minutos
1,1.0,-0.008154120719197626,-0.008129513557293872,0.005382625136761547,0.005382625136761547,132594,132594,-0.008117997501711384,-0.00811799750171139,True,True,1min,1 minuto,1.0,1,minutos
2,2.0,-0.002660936659559745,-0.0027131387497250584,0.005387625254083814,0.005387625254083814,132348,132348,-0.0026265747566406677,-0.002692654091054504,False,False,1min,1 minuto,1.0,2,minutos
3,3.0,0.0033350140292374023,0.0032750586519887403,0.005392639331720062,0.005392639331720062,132102,132102,0.003053130352043475,0.003010111646416539,False,False,1min,1 minuto,1.0,3,minutos
4,4.0,0.004172673846378278,0.004186511832841889,0.005397667434753374,0.005397667434753374,131856,131856,0.004309705898247417,0.0043523189848595,False,False,1min,1 minuto,1.0,4,minutos
5,5.0,-0.004132666714404609,-0.004011897699426431,0.005402709628692408,0.005402709628692408,131610,131610,-0.00382424099794162,-0.003738075078655372,False,False,1min,1 minuto,1.0,5,minutos
6,6.0,0.009195373777209184,0.009044176683391277,0.005407765979474989,0.005407765979474989,131364,131364,0.0094276379373582,0.009380770115046663,True,True,1min,1 minuto,1.0,6,minutos
7,7.0,-0.0041639199559285545,-0.004022116316198594,0.005412836553471727,0.005412836553471727,131118,131118,-0.00434366040456683,-0.004238184933588849,False,False,1min,1 minuto,1.0,7,minutos
8,8.0,-0.0026478154487521296,-0.002611825161562584,0.0054179214174896705,0.0054179214174896705,130872,130872,-0.002804027746498798,-0.0028200270278178614,False,False,1min,1 minuto,1.0,8,minutos
9,9.0,-0.002780660241245614,-0.0028327194213847245,0.005423020638776016,0.005423020638776016,130626,130626,-0.0031859973196082816,-0.0032794944766010156,False,False,1min,1 minuto,1.0,9,minutos
10,10.0,-0.010389195351683757,-0.010349924146003315,0.005428134285021833,0.005428134285021833,130380,130380,-0.010354869098990705,-0.010493837137216125,True,True,1min,1 minuto,1.0,10,minutos
11,11.0,-0.0012814210694621628,-0.001324411377343137,0.005433262424365839,0.005433262424365839,130134,130134,-0.0011887028012746686,-0.0012502787616838268,False,False,1min,1 minuto,1.0,11,minutos
12,12.0,0.006750910603582141,0.0064993655454850165,0.005438405125398219,0.005438405125398219,129888,129888,0.006428451142040138,0.006279077087185148,True,True,1min,1 minuto,1.0,12,minutos
13,13.0,0.0003180348530734918,0.0005453044732561925,0.005443562457164474,0.005443562457164474,129642,129642,0.0001792908757493414,0.00042728974733295086,False,False,1min,1 minuto,1.0,13,minutos
14,14.0,0.003891894639005491,0.00394193976433974,0.005448734489169312,0.005448734489169312,129396,129396,0.003657190648206614,0.0038065413014850297,False,False,1min,1 minuto,1.0,14,minutos
15,15.0,0.00821835492064235,0.008046089047478916,0.00545392129138059,0.00545392129138059,129150,129150,0.008355018544737735,0.008351832989241838,True,True,1min,1 minuto,1.0,15,minutos
16,16.0,-0.005181803051012351,-0.004864393317190441,0.005459122934233282,0.005459122934233282,128904,128904,-0.0048847136983095375,-0.004638712153089996,False,False,1min,1 minuto,1.0,16,minutos
17,17.0,-0.002639917024916278,-0.002668426551017415,0.005464339488633502,0.005464339488633502,128658,128658,-0.0028246612928206683,-0.002922705768992171,False,False,1min,1 minuto,1.0,17,minutos
18,18.0,-0.0005937393349405642,-0.0008993484081647825,0.005469571025962556,0.005469571025962556,128412,128412,-0.0012161367686006612,-0.001569950958836829,False,False,1min,1 minuto,1.0,18,minutos
19,19.0,-0.004280493145053111,-0.004243510798528403,0.005474817618081055,0.005474817618081055,128166,128166,-0.004556293362937211,-0.004642014345839853,False,False,1min,1 minuto,1.0,19,minutos
20,20.0,-0.006282723304439683,-0.006230836158827117,0.005480079337333053,0.005480079337333053,127920,127920,-0.00554648058974981,-0.0056579843643982655,True,True,1min,1 minuto,1.0,20,minutos
21,21.0,-0.006988555430590281,-0.007056016565195903,0.005485356256550235,0.005485356256550235,127674,127674,-0.005832337799034771,-0.0060572204102953275,True,True,1min,1 minuto,1.0,21,minutos
22,22.0,-0.0037017079339113977,-0.0034592123622256407,0.005490648449056161,0.005490648449056161,127428,127428,-0.003967925434273911,-0.0037625078873566257,False,False,1min,1 minuto,1.0,22,minutos
23,23.0,0.00783385300679149,0.0077324141378299375,0.005495955988670536,0.005495955988670536,127182,127182,0.007201745454181499,0.0072850172302099106,True,True,1min,1 minuto,1.0,23,minutos
24,24.0,0.005746042942657831,0.005824850473362755,0.005501278949713538,0.005501278949713538,126936,126936,0.004739335712562211,0.004962887218855076,True,True,1min,1 minuto,1.0,24,minutos
25,25.0,0.002966774676432455,0.0032460100698853207,0.0055066174070101895,0.0055066174070101895,126690,126690,0.0037723452678082264,0.004134512418482408,False,False,1min,1 minuto,1.0,25,minutos
26,26.0,0.00043663650446453797,0.0003535654908963043,0.0055119714358947735,0.0055119714358947735,126444,126444,0.0006408035793347524,0.0005932757440728583,False,False,1min,1 minuto,1.0,26,minutos
27,27.0,-0.0027849901912716177,-0.002923812773286346,0.0055173411122153015,0.0055173411122153015,126198,126198,-0.0031945793868951296,-0.0034404984317651906,False,False,1min,1 minuto,1.0,27,minutos
28,28.0,-0.0026172043038256623,-0.0025644783405762723,0.005522726512338022,0.005522726512338022,125952,125952,-0.0026962488618374994,-0.0028038931169447464,False,False,1min,1 minuto,1.0,28,minutos
29,29.0,0.0016856297148737697,0.0012496723438864127,0.005528127713151989,0.005528127713151989,125706,125706,0.001741205935686352,0.0013091406098429625,False,False,1min,1 minuto,1.0,29,minutos
30,30.0,-0.002984364160089776,-0.0030758716210459985,0.0055335447920736615,0.0055335447920736615,125460,125460,-0.0025000748286098996,-0.002685556774159419,False,False,1min,1 minuto,1.0,30,minutos
31,31.0,0.0005955649949415588,0.0005397969154679713,0.005538977827051577,0.005538977827051577,125214,125214,0.0001799386257743918,0.00020072702856051332,False,False,1min,1 minuto,1.0,31,minutos
32,32.0,-0.00703455402738019,-0.006687826877953072,0.005544426896571053,0.005544426896571053,124968,124968,-0.0071869298738783385,-0.0070955375062590085,True,True,1min,1 minuto,1.0,32,minutos
33,33.0,0.0073979070097191495,0.007284636734208031,0.005549892079658955,0.005549892079658955,124722,124722,0.0071422216352481655,0.007389888613547104,True,True,1min,1 minuto,1.0,33,minutos
34,34.0,0.0023061585403784677,0.0026687502029595746,0.005555373455888502,0.005555373455888502,124476,124476,0.00266452370310928,0.00310952122959723,False,False,1min,1 minuto,1.0,34,minutos
35,35.0,0.002378612460311238,0.0024691906685116102,0.005560871105384145,0.005560871105384145,124230,124230,0.002210405708617698,0.002350493152625487,False,False,1min,1 minuto,1.0,35,minutos
36,36.0,-0.0002005730546910872,-6.012311351428621e-05,0.005566385108826476,0.005566385108826476,123984,123984,-0.0008570623273457231,-0.0007560367445908104,False,False,1min,1 minuto,1.0,36,minutos
37,37.0,0.0016536849412762584,0.0012342228593945654,0.005571915547457201,0.005571915547457201,123738,123738,0.0023724258552705567,0.001988319411214837,False,False,1min,1 minuto,1.0,37,minutos
38,38.0,-0.0005643350917344179,-0.0006842596712006476,0.005577462503084177,0.005577462503084177,123492,123492,-0.00033338722977787564,-0.0005050961902510984,False,False,1min,1 minuto,1.0,38,minutos
39,39.0,0.0009498966077529021,0.0006195486210816932,0.005583026058086484,0.005583026058086484,123246,123246,0.0007284694293852894,0.00045509298332795214,False,False,1min,1 minuto,1.0,39,minutos
