lag,minutes,acf_absolute_returns,acf_squared_returns,n_pairs,scale,label,bar_minutes,separation_value,separation_unit
0,0.0,1.0,1.0,132840,1min,1 minuto,1.0,0,minutos
1,1.0,0.24229535553357656,0.2769338990910422,132594,1min,1 minuto,1.0,1,minutos
2,2.0,0.21573341806852953,0.14805825569353448,132348,1min,1 minuto,1.0,2,minutos
3,3.0,0.19447567834534416,0.06558912033537694,132102,1min,1 minuto,1.0,3,minutos
4,4.0,0.18447139547355748,0.05517230856589984,131856,1min,1 minuto,1.0,4,minutos
5,5.0,0.18494980028582417,0.054507551934243906,131610,1min,1 minuto,1.0,5,minutos
6,6.0,0.1767099594622424,0.041898486969246675,131364,1min,1 minuto,1.0,6,minutos
7,7.0,0.17494357653721668,0.048815171876302126,131118,1min,1 minuto,1.0,7,minutos
8,8.0,0.17174166762197898,0.043318646231874786,130872,1min,1 minuto,1.0,8,minutos
9,9.0,0.16454825657110234,0.044808707974231,130626,1min,1 minuto,1.0,9,minutos
10,10.0,0.1711093564139904,0.04894268089439459,130380,1min,1 minuto,1.0,10,minutos
11,11.0,0.16014364006310458,0.044102421465243506,130134,1min,1 minuto,1.0,11,minutos
12,12.0,0.1648300444489633,0.05364130844413079,129888,1min,1 minuto,1.0,12,minutos
13,13.0,0.15812686880721868,0.04265559479498253,129642,1min,1 minuto,1.0,13,minutos
14,14.0,0.15036866318033593,0.035363523624375795,129396,1min,1 minuto,1.0,14,minutos
15,15.0,0.15150355245901526,0.03159301199288633,129150,1min,1 minuto,1.0,15,minutos
16,16.0,0.15466068137831868,0.03348074906634151,128904,1min,1 minuto,1.0,16,minutos
17,17.0,0.15010966331985934,0.03516177762899566,128658,1min,1 minuto,1.0,17,minutos
18,18.0,0.1463397336594763,0.02988775104639362,128412,1min,1 minuto,1.0,18,minutos
19,19.0,0.14581941123054382,0.03328929115913035,128166,1min,1 minuto,1.0,19,minutos
20,20.0,0.1474530566386506,0.04396550972989842,127920,1min,1 minuto,1.0,20,minutos
21,21.0,0.14133020145123612,0.03649467065668009,127674,1min,1 minuto,1.0,21,minutos
22,22.0,0.13946102674804142,0.0353521510807975,127428,1min,1 minuto,1.0,22,minutos
23,23.0,0.13825888558518998,0.03318617487518679,127182,1min,1 minuto,1.0,23,minutos
24,24.0,0.13999460283227827,0.03033943086279152,126936,1min,1 minuto,1.0,24,minutos
25,25.0,0.14393674482138466,0.043277729361262986,126690,1min,1 minuto,1.0,25,minutos
26,26.0,0.13745029044595053,0.03872849984439171,126444,1min,1 minuto,1.0,26,minutos
27,27.0,0.14001493044267768,0.04450601883389186,126198,1min,1 minuto,1.0,27,minutos
28,28.0,0.1378828876768782,0.03876653008512437,125952,1min,1 minuto,1.0,28,minutos
29,29.0,0.14230774236913382,0.044349744340623144,125706,1min,1 minuto,1.0,29,minutos
30,30.0,0.1395120663641535,0.0386926299128825,125460,1min,1 minuto,1.0,30,minutos
31,31.0,0.1331882439477726,0.03815892049761447,125214,1min,1 minuto,1.0,31,minutos
32,32.0,0.12967111256605082,0.030996350219627346,124968,1min,1 minuto,1.0,32,minutos
33,33.0,0.1276553355745419,0.03228349524759998,124722,1min,1 minuto,1.0,33,minutos
34,34.0,0.12271398379895555,0.031418671558177534,124476,1min,1 minuto,1.0,34,minutos
35,35.0,0.1278050503467815,0.03580209950042018,124230,1min,1 minuto,1.0,35,minutos
36,36.0,0.12284046673938805,0.02739025021505685,123984,1min,1 minuto,1.0,36,minutos
37,37.0,0.12038801640475277,0.027772298302015483,123738,1min,1 minuto,1.0,37,minutos
38,38.0,0.1148154333830785,0.02329978363901001,123492,1min,1 minuto,1.0,38,minutos
